another_name,another_name_kana,post_id,prefecture_id
,,0000000,15
会沢,ｱｲｻﾜ,9421543,15
明石町,ｱｶｼﾁｮｳ,9480046,15
赤谷,ｱｶﾀﾆ,9480213,15
麻畑,ｱｻﾊﾞﾀｹ,9480045,15
旭町,ｱｻﾋﾁｮｳ,9480079,15
莇平,ｱｻﾞﾐﾋﾗ,9421531,15
当間,ｱﾃﾏ,9498544,15
天池,ｱﾏｲｹ,9498531,15
新里,ｱﾗｻﾄ,9498445,15
新町新田,ｱﾗﾏﾁｼﾝﾃﾞﾝ,9480121,15
荒屋,ｱﾗﾔ,9498414,15
新屋敷,ｱﾗﾔｼｷ,9498502,15
安養寺,ｱﾝﾖｳｼﾞ,9498562,15
池沢,ｲｹｻﾞﾜ,9498541,15
池尻,ｲｹｼﾞﾘ,9421525,15
池之尻,ｲｹﾉｼﾘ,9498532,15
池之畑,ｲｹﾉﾊﾀ,9421515,15
泉町,ｲｽﾞﾐﾁｮｳ,9480062,15
伊勢平治,ｲｾﾍｲｼﾞ,9480131,15
市之越,ｲﾁﾉｺｼ,9498422,15
稲葉,ｲﾅﾊﾞ,9480101,15
稲荷町,ｲﾅﾘﾁｮｳ,9480073,15
稲荷町一丁目,ｲﾅﾘﾁｮｳｲｯﾁｮｳﾒ,9480073,15
稲荷町二丁目,ｲﾅﾘﾁｮｳﾆﾁｮｳﾒ,9480073,15
稲荷町三丁目,ｲﾅﾘﾁｮｳｻﾝﾁｮｳﾒ,9480091,15
稲荷町三丁目北,ｲﾅﾘﾁｮｳｻﾝﾁｮｳﾒｷﾀ,9480092,15
稲荷町三丁目東,ｲﾅﾘﾁｮｳｻﾝﾁｮｳﾒﾋｶﾞｼ,9480073,15
稲荷町三丁目南,ｲﾅﾘﾁｮｳｻﾝﾁｮｳﾒﾐﾅﾐ,9480093,15
稲荷町三丁目本通り,ｲﾅﾘﾁｮｳｻﾝﾁｮｳﾒﾎﾝﾄﾞｵﾘ,9480073,15
稲荷町四丁目,ｲﾅﾘﾁｮｳﾖﾝﾁｮｳﾒ,9480073,15
稲荷町西,ｲﾅﾘﾁｮｳﾆｼ,9480073,15
犬伏,ｲﾇﾌﾞｼ,9421504,15
芋川,ｲﾓｶﾞﾜ,9498441,15
芋川新田,ｲﾓｶﾞﾜｼﾝﾃﾞﾝ,9498421,15
芋沢,ｲﾓｻﾞﾜ,9498405,15
岩瀬,ｲﾜｾ,9480212,15
上野,ｳｴﾉ,9480122,15
浦田,ｳﾗﾀﾞ,9421342,15
漆島,ｳﾙｼｼﾞﾏ,9498533,15
上山,ｳﾜﾔﾏ,9498401,15
駅通り,ｴｷﾄﾞｵﾘ,9480088,15
江道,ｴﾄﾞｳ,9480014,15
大池,ｵｵｲｹ,9480018,15
大石,ｵｵｲｼ,9498555,15
大倉,ｵｵｸﾗ,9480211,15
大黒沢,ｵｵｸﾞﾛｻﾜ,9498521,15
大白倉,ｵｵｼﾞﾗｸﾗ,9480305,15
太田島,ｵｵﾀｼﾞﾏ,9498524,15
沖立,ｵｷﾀﾞﾃ,9480133,15
尾崎,ｵｻｷ,9480008,15
苧島,ｵﾉｼﾏ,9421505,15
海老,ｶｲﾛｳ,9421511,15
加賀糸屋町,ｶｶﾞｲﾄﾔﾁｮｳ,9480086,15
角間,ｶｸﾏ,9498435,15
春日町,ｶｽｶﾞﾁｮｳ,9480057,15
片桐山,ｶﾀｷﾞﾘﾔﾏ,9421502,15
学校町,ｶﾞｯｺｳﾁｮｳ,9480022,15
桂,ｶﾂﾗ,9498402,15
上新井,ｶﾐｱﾗｲ,9480134,15
上川町,ｶﾐｶﾜﾁｮｳ,9480029,15
上組,ｶﾐｸﾞﾐ,9498602,15
上島,ｶﾐｼﾞﾏ,9480094,15
蒲生,ｶﾓｳ,9421534,15
河内町,ｶﾜｳﾁﾁｮｳ,9480038,15
川治,ｶﾜｼﾞ,9480036,15
川治下町,ｶﾜｼﾞｼﾓﾁｮｳ,9480035,15
川原町,ｶﾜﾊﾗﾁｮｳ,9480013,15
木落,ｷｵﾄｼ,9480304,15
桔梗原,ｷｷｮｳﾊﾗ,9498419,15
北鐙坂,ｷﾀｱﾌﾞｻﾞｶ,9480105,15
北新田,ｷﾀｼﾝﾃﾞﾝ,9480041,15
儀明,ｷﾞﾐﾖｳ,9421536,15
桐山,ｷﾘﾔﾏ,9421541,15
木和田原,ｷﾜﾀﾞﾊﾗ,9421352,15
倉下,ｸﾗｼﾀ,9498432,15
倉俣,ｸﾗﾏﾀ,9498412,15
鍬柄沢,ｸﾜｶﾞﾗｻﾞﾜ,9498543,15
下条,ｹﾞｼﾞｮｳ,9498603,15
源田,ｹﾞﾝﾀ,9498542,15
小荒戸,ｺｱﾗﾄ,9421523,15
小池,ｺｲｹ,9421538,15
小泉,ｺｲｽﾞﾐ,9480103,15
小出,ｺｲﾃﾞ,9498433,15
高道山,ｺｳﾐﾁﾔﾏ,9498416,15
小黒沢,ｺｸﾞﾛｻﾜ,9498527,15
五軒新田,ｺﾞｹﾝｼﾝﾃﾞﾝ,9480001,15
越ケ沢,ｺｼｶﾞｻﾜ,9480219,15
小白倉,ｺｼﾞﾗｸﾗ,9480306,15
寿町,ｺﾄﾌﾞｷﾁｮｳ,9480051,15
小根岸,ｺﾈｷﾞｼ,9480125,15
小原,ｺﾊﾗ,9498409,15
小屋丸,ｺﾔﾏﾙ,9421514,15
小脇,ｺﾜｷ,9480218,15
西方,ｻｲﾎｳ,9498436,15
幸町,ｻｲﾜｲﾁｮｳ,9498525,15
栄町,ｻｶｴﾁｮｳ,9480068,15
桜木町,ｻｸﾗｷﾞﾁｮｳ,9480058,15
真田乙,ｻﾅﾀﾞｵﾂ,9480112,15
真田甲,ｻﾅﾀﾞｺｳ,9480111,15
真田丁,ｻﾅﾀﾞﾃｲ,9480113,15
真田丙,ｻﾅﾀﾞﾍｲ,9480114,15
猿倉,ｻﾙｸﾗ,9480015,15
三領,ｻﾝﾘｮｳ,9480124,15
三和町,ｻﾝﾜﾁｮｳ,9480002,15
塩ノ又,ｼｵﾉﾏﾀ,9480039,15
下島,ｼﾀｼﾞﾏ,9480095,15
下平新田,ｼﾀﾀﾞｲﾗｼﾝﾃﾞﾝ,9480123,15
七軒町,ｼﾁｹﾝﾁｮｳ,9480084,15
清水,ｼﾐｽﾞ,9421542,15
