another_name,another_name_kana,post_id,prefecture_id
,,0000000,23
赤坂台,ｱｶｻｶﾀﾞｲ,4410204,23
赤坂町,ｱｶｻｶﾁｮｳ,4410202,23
赤代町,ｱｶｼﾛﾁｮｳ,4420054,23
明野町,ｱｹﾉﾁｮｳ,4420887,23
曙町,ｱｹﾎﾞﾉﾁｮｳ,4420015,23
旭町,ｱｻﾋﾏﾁ,4420041,23
足山田町,ｱｼﾔﾏﾀﾞﾁｮｳ,4411203,23
麻生田町,ｱｿｳﾀﾞﾁｮｳ,4420802,23
市田町,ｲﾁﾀﾞﾁｮｳ,4420862,23
一宮町,ｲﾁﾉﾐﾔﾁｮｳ,4411231,23
伊奈町,ｲﾅﾁｮｳ,4410105,23
稲荷通,ｲﾅﾘﾄﾞｵﾘ,4420023,23
院之子町,ｲﾝﾉｺﾁｮｳ,4420814,23
上野,ｳｴﾉ,4420801,23
牛久保駅通,ｳｼｸﾎﾞｴｷﾄﾞｵﾘ,4420886,23
牛久保町,ｳｼｸﾎﾞﾁｮｳ,4420826,23
駅前通,ｴｷﾏｴﾄﾞｵﾘ,4420045,23
江島町,ｴｼﾞﾏﾁｮｳ,4411211,23
大木新町通,ｵｵｷﾞｼﾝﾏﾁﾄﾞｵﾘ,4411207,23
大木町,ｵｵｷﾞﾁｮｳ,4411205,23
大崎町,ｵｵｻｷﾁｮｳ,4420007,23
大橋町,ｵｵﾊｼﾁｮｳ,4420809,23
大堀町,ｵｵﾎﾞﾘﾁｮｳ,4420013,23
小田渕町,ｵﾀﾞﾌﾞﾁﾁｮｳ,4420844,23
開運通,ｶｲｳﾝﾄﾞｵﾘ,4420048,23
金沢町,ｶﾅｻﾞﾜﾁｮｳ,4411212,23
金塚町,ｶﾅﾂﾞｶﾁｮｳ,4420872,23
金屋町,ｶﾅﾔﾁｮｳ,4420053,23
金屋西町,ｶﾅﾔﾆｼﾏﾁ,4420067,23
金屋橋町,ｶﾅﾔﾊﾞｼﾁｮｳ,4420055,23
金屋本町,ｶﾅﾔﾎﾝﾏﾁ,4420052,23
金屋元町,ｶﾅﾔﾓﾄﾏﾁ,4420066,23
上長山町,ｶﾐﾅｶﾞﾔﾏﾁｮｳ,4411202,23
川花町,ｶﾜﾊﾅﾁｮｳ,4420837,23
北浦町,ｷﾀｳﾗﾁｮｳ,4420042,23
行明町,ｷﾞｮｳﾒｲﾁｮｳ,4420822,23
