another_name,another_name_kana,post_id,prefecture_id
,,0000000,28
赤石,ｱｶｲｼ,6680801,28
伊賀谷,ｲｶﾞﾀﾞﾆ,6680001,28
出石町荒木,ｲｽﾞｼﾁｮｳｱﾗｷ,6680261,28
出石町伊木,ｲｽﾞｼﾁｮｳｲｷﾞ,6680213,28
出石町伊豆,ｲｽﾞｼﾁｮｳｲｽﾞ,6680207,28
出石町入佐,ｲｽﾞｼﾁｮｳｲﾙｻ,6680218,28
出石町上野,ｲｽﾞｼﾁｮｳｳｴﾉ,6680244,28
出石町魚屋,ｲｽﾞｼﾁｮｳｳｵﾔ,6680215,28
出石町内町,ｲｽﾞｼﾁｮｳｳﾁﾏﾁ,6680214,28
出石町大谷,ｲｽﾞｼﾁｮｳｵｵﾀﾆ,6680271,28
出石町奥小野,ｲｽﾞｼﾁｮｳｵｸｵﾉ,6680201,28
出石町奥山,ｲｽﾞｼﾁｮｳｵｸﾔﾏ,6680251,28
出石町鍛冶屋,ｲｽﾞｼﾁｮｳｶｼﾞﾔ,6680235,28
出石町片間,ｲｽﾞｼﾁｮｳｶﾀﾏ,6680279,28
出石町上村,ｲｽﾞｼﾁｮｳｶﾐﾑﾗ,6680255,28
出石町川原,ｲｽﾞｼﾁｮｳｶﾜﾗ,6680231,28
出石町桐野,ｲｽﾞｼﾁｮｳｷﾘﾉ,6680242,28
出石町口小野,ｲｽﾞｼﾁｮｳｸﾁｵﾉ,6680202,28
出石町暮坂,ｲｽﾞｼﾁｮｳｸﾚｻｶ,6680264,28
出石町小人,ｲｽﾞｼﾁｮｳｺﾋﾞﾄ,6680256,28
出石町材木,ｲｽﾞｼﾁｮｳｻﾞｲﾓｸ,6680216,28
出石町嶋,ｲｽﾞｼﾁｮｳｼﾏ,6680205,28
出石町下谷,ｲｽﾞｼﾁｮｳｼﾓﾀﾆ,6680211,28
出石町田結庄,ｲｽﾞｼﾁｮｳﾀｲﾉｼｮｳ,6680233,28
出石町田多地,ｲｽﾞｼﾁｮｳﾀﾀﾞﾁ,6680209,28
出石町谷山,ｲｽﾞｼﾁｮｳﾀﾆﾔﾏ,6680212,28
