another_name,another_name_kana,post_id,prefecture_id
,,0000000,8
天川,ｱﾏｶﾜ,3000818,8
荒川沖,ｱﾗｶﾜｵｷ,3000873,8
荒川沖東,ｱﾗｶﾜｵｷﾋｶﾞｼ,3000871,8
荒川沖西,ｱﾗｶﾜｵｷﾆｼ,3000874,8
荒川本郷,ｱﾗｶﾜﾎﾝｺﾞｳ,3000877,8
有明町,ｱﾘｱｹﾁｮｳ,3000035,8
粟野町,ｱﾜﾉﾏﾁ,3000002,8
飯田,ｲｲﾀﾞ,3000802,8
生田町,ｲｸﾀﾏﾁ,3000047,8
板谷,ｲﾀﾔ,3000007,8
今泉,ｲﾏｲｽﾞﾐ,3000001,8
大岩田,ｵｵｲﾜﾀ,3000835,8
大志戸,ｵｵｼﾄ,3004103,8
おおつ野,ｵｵﾂﾉ,3000028,8
大手町,ｵｵﾃﾏﾁ,3000044,8
大畑,ｵｵﾊﾞﾀｹ,3004111,8
大町,ｵｵﾏﾁ,3000038,8
沖新田,ｵｷｼﾝﾃﾞﾝ,3000872,8
沖宿町,ｵｷｼﾞｭｸﾏﾁ,3000023,8
小高,ｵﾀﾞｶ,3004106,8
乙戸,ｵｯﾄ,3000844,8
乙戸南,ｵｯﾄﾐﾅﾐ,3000845,8
小野,ｵﾉ,3004108,8
小山田,ｵﾔﾏﾀﾞ,3000846,8
卸町,ｵﾛｼﾏﾁ,3000847,8
笠師町,ｶｻｼﾏﾁ,3000008,8
粕毛,ｶｽｹﾞ,3000804,8
霞ケ岡町,ｶｽﾐｶﾞｵｶﾏﾁ,3000825,8
上坂田,ｶﾐｻｶﾀ,3004114,8
上高津,ｶﾐﾀｶﾂ,3000811,8
上高津新町,ｶﾐﾀｶﾂｼﾝﾏﾁ,3000819,8
烏山,ｶﾗｽﾔﾏ,3000836,8
川口,ｶﾜｸﾞﾁ,3000033,8
神立中央,ｶﾝﾀﾞﾂﾁｭｳｵｳ,3000011,8
神立町,ｶﾝﾀﾞﾂﾏﾁ,3000013,8
神立東,ｶﾝﾀﾞﾂﾋｶﾞｼ,3000012,8
