another_name,another_name_kana,post_id,prefecture_id
,,0000000,2
稲垣町繁田,ｲﾅｶﾞｷﾁｮｳｼｹﾞﾀ,0370102,2
稲垣町下繁田,ｲﾅｶﾞｷﾁｮｳｼﾓｼｹﾞﾀ,0370101,2
稲垣町千年,ｲﾅｶﾞｷﾁｮｳﾁﾄｾ,0370109,2
稲垣町豊川,ｲﾅｶﾞｷﾁｮｳﾄﾖｶﾜ,0370104,2
稲垣町沼崎,ｲﾅｶﾞｷﾁｮｳﾇﾏｻﾞｷ,0370106,2
稲垣町沼舘,ｲﾅｶﾞｷﾁｮｳﾇﾏﾀﾞﾃ,0370107,2
稲垣町福富,ｲﾅｶﾞｷﾁｮｳﾌｸﾄﾐ,0370105,2
稲垣町穂積,ｲﾅｶﾞｷﾁｮｳﾎﾂﾞﾐ,0370103,2
稲垣町吉出,ｲﾅｶﾞｷﾁｮｳﾖｼﾃﾞ,0370108,2
牛潟町,ｳｼｶﾞﾀﾁｮｳ,0383305,2
柏稲盛,ｶｼﾜｲｾ,0383107,2
柏上古川,ｶｼﾜｶﾐｺｶﾞﾜ,0383103,2
柏桑野木田,ｶｼﾜｸﾜﾉｷﾀﾞ,0383104,2
柏鷺坂,ｶｼﾜｻｷﾞｻｶ,0383101,2
柏下古川,ｶｼﾜｼﾓｺｶﾞﾜ,0383102,2
柏玉水,ｶｼﾜﾀﾏﾐｽﾞ,0383106,2
柏広須,ｶｼﾜﾋﾛｽ,0383105,2
木造赤根,ｷﾂﾞｸﾘｱｶﾈ,0383142,2
木造曙,ｷﾂﾞｸﾘｱｹﾎﾞﾉ,0383144,2
木造朝日,ｷﾂﾞｸﾘｱｻﾋ,0383124,2
木造芦沼,ｷﾂﾞｸﾘｱｼﾇﾏ,0383113,2
木造出野里,ｷﾂﾞｸﾘｲﾃﾞﾉｻﾄ,0383273,2
木造浮巣,ｷﾂﾞｸﾘｳｷｽ,0383141,2
木造有楽町,ｷﾂﾞｸﾘｳﾗｸﾏﾁ,0383135,2
木造浦船,ｷﾂﾞｸﾘｳﾗﾌﾈ,0383162,2
木造追広,ｷﾂﾞｸﾘｵｲﾋﾛ,0383122,2
木造大畑,ｷﾂﾞｸﾘｵｵﾊﾞﾀ,0383277,2
木造大湯町,ｷﾂﾞｸﾘｵｵﾕﾏﾁ,0383285,2
木造兼館,ｷﾂﾞｸﾘｶﾈﾀﾞﾃ,0383272,2
木造亀ケ岡,ｷﾂﾞｸﾘｶﾒｶﾞｵｶ,0383284,2
木造川除,ｷﾂﾞｸﾘｶﾜﾖｹ,0383112,2
木造菊川,ｷﾂﾞｸﾘｷｸｶﾜ,0383165,2
木造越水,ｷﾂﾞｸﾘｺｼﾐｽﾞ,0382806,2
木造菰槌,ｷﾂﾞｸﾘｺﾓﾂﾁ,0383286,2
木造桜川,ｷﾂﾞｸﾘｻｸﾗｶﾞﾜ,0383159,2
木造桜木,ｷﾂﾞｸﾘｻｸﾗｷﾞ,0383146,2
木造柴田,ｷﾂﾞｸﾘｼﾊﾞﾀ,0383164,2
木造清水,ｷﾂﾞｸﾘｼﾐｽﾞ,0383132,2
木造下遠山里,ｷﾂﾞｸﾘｼﾓﾄｵﾔﾏｻﾄ,0383287,2
木造下福原,ｷﾂﾞｸﾘｼﾓﾌｸﾊﾗ,0382803,2
木造末広,ｷﾂﾞｸﾘｽｴﾋﾛ,0383133,2
木造館岡,ｷﾂﾞｸﾘﾀﾃｵｶ,0383283,2
木造種取,ｷﾂﾞｸﾘﾀﾈﾄﾘ,0383134,2
木造千年,ｷﾂﾞｸﾘﾁﾄｾ,0383131,2
木造千代田,ｷﾂﾞｸﾘﾁﾖﾀﾞ,0383167,2
木造千代町,ｷﾂﾞｸﾘﾁﾖﾏﾁ,0383145,2
木造土滝,ｷﾂﾞｸﾘﾂﾁﾀｷ,0383278,2
木造鶴泊,ｷﾂﾞｸﾘﾂﾙﾄﾞﾏﾘ,0383125,2
木造出来島,ｷﾂﾞｸﾘﾃﾞｷｼﾏ,0383288,2
木造照日,ｷﾂﾞｸﾘﾃﾙﾋ,0383154,2
木造筒木坂,ｷﾂﾞｸﾘﾄﾞｳｷｻﾞｶ,0383282,2
木造豊田,ｷﾂﾞｸﾘﾄﾖﾀﾞ,0383111,2
木造永田,ｷﾂﾞｸﾘﾅｶﾞﾀ,0383275,2
木造中館,ｷﾂﾞｸﾘﾅｶﾀﾞﾃ,0383163,2
木造成田,ｷﾂﾞｸﾘﾅﾘﾀ,0383114,2
木造濁川,ｷﾂﾞｸﾘﾆｺﾞﾘｶﾞﾜ,0383161,2
木造野宮,ｷﾂﾞｸﾘﾉﾐﾔ,0383153,2
木造萩流,ｷﾂﾞｸﾘﾊｷﾞﾅｶﾞﾚ,0383139,2
木造萩野,ｷﾂﾞｸﾘﾊｷﾞﾉ,0383136,2
木造蓮川,ｷﾂﾞｸﾘﾊｽｶﾜ,0383115,2
木造林,ｷﾂﾞｸﾘﾊﾔｼ,0383276,2
木造早田,ｷﾂﾞｸﾘﾊﾔﾀ,0383121,2
木造日向,ｷﾂﾞｸﾘﾋﾅﾀ,0383143,2
木造平滝,ｷﾂﾞｸﾘﾋﾗﾀｷ,0383281,2
木造吹原,ｷﾂﾞｸﾘﾌｷﾊﾗ,0382808,2
木造福原,ｷﾂﾞｸﾘﾌｸﾊﾗ,0383166,2
木造房松,ｷﾂﾞｸﾘﾌｻﾏﾂ,0383158,2
木造藤岡,ｷﾂﾞｸﾘﾌｼﾞｵｶ,0383152,2
木造藤田,ｷﾂﾞｸﾘﾌｼﾞﾀ,0383123,2
木造増田,ｷﾂﾞｸﾘﾏｽﾀ,0383155,2
木造丸山,ｷﾂﾞｸﾘﾏﾙﾔﾏ,0382801,2
木造三ツ館,ｷﾂﾞｸﾘﾐﾂﾀﾃ,0382804,2
木造宮井,ｷﾂﾞｸﾘﾐﾔｲ,0383156,2
木造宮崎,ｷﾂﾞｸﾘﾐﾔｻﾞｷ,0383157,2
木造森内,ｷﾂﾞｸﾘﾓﾘｳﾁ,0383126,2
木造森本,ｷﾂﾞｸﾘﾓﾘﾓﾄ,0383128,2
木造森山,ｷﾂﾞｸﾘﾓﾘﾔﾏ,0383127,2
木造善積,ｷﾂﾞｸﾘﾖｼﾂﾞﾐ,0383271,2
木造蓮花田,ｷﾂﾞｸﾘﾚﾝｹﾞﾀ,0383274,2
木造若竹,ｷﾂﾞｸﾘﾜｶﾀｹ,0383151,2
木造若緑,ｷﾂﾞｸﾘﾜｶﾐﾄﾞﾘ,0383138,2
木造若宮,ｷﾂﾞｸﾘﾜｶﾐﾔ,0383137,2
下車力町,ｼﾀｼｬﾘｷﾁｮｳ,0383304,2
下牛潟町,ｼﾓｳｼｶﾞﾀﾁｮｳ,0383306,2
車力町,ｼｬﾘｷﾁｮｳ,0383303,2
富萢町,ﾄﾐﾔﾁﾁｮｳ,0383301,2
豊富町,ﾄﾖﾄﾐﾁｮｳ,0383302,2
森田町大館,ﾓﾘﾀﾁｮｳｵｵﾀﾞﾃ,0382818,2
森田町上相野,ﾓﾘﾀﾁｮｳｶﾐｱｲﾉ,0382811,2
森田町下相野,ﾓﾘﾀﾁｮｳｼﾓｱｲﾉ,0382812,2
