another_name,another_name_kana,post_id,prefecture_id
,,0000000,40
赤幡,ｱｶﾊﾀ,8290112,40
上り松,ｱｶﾞﾘﾏﾂ,8290315,40
有安,ｱﾘﾔｽ,8290313,40
石堂,ｲｼﾄﾞｳ,8290312,40
櫟原,ｲﾁｷﾞﾊﾞﾙ,8290124,40
岩丸,ｲﾜﾏﾙ,8290335,40
上ノ河内,ｳｴﾉｶﾜﾁ,8290314,40
臼田,ｳｽﾀﾞ,8290302,40
宇留津,ｳﾙﾂﾞ,8290341,40
小原,ｵﾊﾞﾗ,8290304,40
小山田,ｵﾔﾏﾀﾞ,8290104,40
上香楽,ｶﾐｺｳﾗｸ,8290114,40
上深野,ｶﾐﾌｶﾉ,8290115,40
上別府,ｶﾐﾍﾞﾌ,8290105,40
袈裟丸,ｹｻﾏﾙ,8290117,40
越路,ｺｲｼﾞ,8290332,40
極楽寺,ｺﾞｸﾗｸｼﾞ,8290323,40
坂本,ｻｶﾓﾄ,8290321,40
寒田,ｻﾜﾀﾞ,8290125,40
椎田,ｼｲﾀﾞ,8290301,40
下香楽,ｼﾓｺｳﾗｸ,8290113,40
下深野,ｼﾓﾌｶﾉ,8290116,40
下別府,ｼﾓﾍﾞﾌ,8290108,40
真如寺,ｼﾝﾆｮｳｼﾞ,8290305,40
高塚,ﾀｶﾂｶ,8290331,40
築城,ﾂｲｷ,8290102,40
伝法寺,ﾃﾞﾝﾎﾞｳｼﾞ,8290122,40
奈古,ﾅｺﾞ,8290334,40
西八田,ﾆｼﾊｯﾀ,0000000,40
西八田航空自衛隊築城基地,ﾆｼﾊｯﾀｺｳｸｳｼﾞｴｲﾀｲﾂｲｷｷﾁ,8290151,40
東築城,ﾋｶﾞｼﾂｲｷ,8290101,40
東八田,ﾋｶﾞｼﾊｯﾀ,8290342,40
日奈古,ﾋﾅｺﾞ,8290322,40
広末,ﾋﾛｽｴ,8290103,40
船迫,ﾌﾅｻｺ,8290106,40
本庄,ﾎﾝｼﾞｮｳ,8290123,40
松丸,ﾏﾂﾏﾙ,8290121,40
水原,ﾐｽﾞﾊﾗ,8290333,40
湊,ﾐﾅﾄ,8290311,40
安武,ﾔｽﾀｹ,8290111,40
山本,ﾔﾏﾓﾄ,8290303,40
弓の師,ﾕﾐﾉｼ,8290107,40
