another_name,another_name_kana,post_id,prefecture_id
,,0000000,8
赤塚,ｱｶﾂｶ,3050062,8
明石,ｱｹｼ,3004203,8
旭,ｱｻﾋ,0000000,8
安食,ｱｼﾞｷ,3004205,8
あしび野,ｱｼﾋﾞﾉ,3001261,8
吾妻,ｱﾂﾞﾏ,3050031,8
天久保,ｱﾏｸﾎﾞ,3050005,8
天宝喜,ｱﾏﾎﾞｳｷ,3001253,8
新井,ｱﾗｲ,3050835,8
新牧田,ｱﾗﾏｷﾀﾞ,3050076,8
飯田,ｲｲﾀﾞ,3050874,8
池田,ｲｹﾀﾞ,3004243,8
池の台,ｲｹﾉﾀﾞｲ,0000000,8
池向,ｲｹﾑｶｲ,3001269,8
泉,ｲｽﾞﾐ,3004235,8
磯部,ｲｿﾍﾞ,3004248,8
市之台,ｲﾁﾉﾀﾞｲ,3050073,8
稲岡,ｲﾅｵｶ,3050071,8
稲荷原,ｲﾅﾘﾊﾗ,3001259,8
稲荷前,ｲﾅﾘﾏｴ,3050061,8
今泉,ｲﾏｲｽﾞﾐ,3050855,8
今鹿島,ｲﾏｶｼﾏ,3002641,8
上野,ｳｴﾉ,3050002,8
上ノ室,ｳｴﾉﾑﾛ,3050023,8
臼井,ｳｽｲ,3004211,8
梅ケ丘,ｳﾒｶﾞｵｶ,3001275,8
梅園,ｳﾒｿﾞﾉ,3050045,8
漆所,ｳﾙｼｼﾞｮ,3004216,8
榎戸,ｴﾉｷﾄﾞ,3050853,8
大,ｵｵ,3050016,8
大井,ｵｵｲ,3001243,8
大形,ｵｵｶﾞﾀ,3004221,8
大久保,ｵｵｸﾎﾞ,3002611,8
大白硲,ｵｵｼﾞﾗﾊｻﾞﾏ,3050845,8
大砂,ｵｵｽﾅ,3002612,8
大曽根,ｵｵｿﾞﾈ,3003253,8
大貫,ｵｵﾇｷ,3004218,8
大舟戸,ｵｵﾌﾅﾄ,3001267,8
大穂,ｵｵﾎ,0000000,8
大わし,ｵｵﾜｼ,3050851,8
岡村新田,ｵｶﾑﾗｼﾝﾃﾞﾝ,3050026,8
小茎,ｵｸﾞｷ,3001255,8
長高野,ｵｻｺﾞｳﾔ,3003265,8
小沢,ｵｻﾞﾜ,3004215,8
小田,ｵﾀﾞ,3004223,8
鬼ケ窪,ｵﾆｶﾞｸﾎﾞ,3002651,8
小野川,ｵﾉｶﾞﾜ,3050053,8
小野崎,ｵﾉｻﾞｷ,3050034,8
面野井,ｵﾓﾉｲ,3002653,8
学園の森,ｶﾞｸｴﾝﾉﾓﾘ,3050816,8
学園南,ｶﾞｸｴﾝﾐﾅﾐ,3050818,8
梶内,ｶｼﾞｳﾁ,3050064,8
鹿島台,ｶｼﾏﾀﾞｲ,3003254,8
春日,ｶｽｶﾞ,3050821,8
片田,ｶﾀﾀﾞ,3050877,8
葛城根崎,ｶﾂﾗｷﾞﾈｻｷ,3050824,8
香取台,ｶﾄﾘﾀﾞｲ,3002657,8
要,ｶﾅﾒ,3002622,8
上岩崎,ｶﾐｲﾜｻｷ,3001274,8
上大島,ｶﾐｵｵｼﾏ,3004351,8
上萱丸,ｶﾐｶﾔﾏﾙ,3050871,8
かみかわ,ｶﾐｶﾜ,3002668,8
上河原崎,ｶﾐｶﾜﾗｻﾞｷ,3002661,8
上郷,ｶﾐｺﾞｳ,3002645,8
上境,ｶﾐｻﾞｶｲ,3050011,8
上里,ｶﾐｻﾄ,3002614,8
上沢,ｶﾐｻﾜ,3004246,8
上菅間,ｶﾐｽｶﾞﾏ,3004241,8
上原,ｶﾐﾊﾗ,3050055,8
上広岡,ｶﾐﾋﾛｵｶ,3050041,8
上横場,ｶﾐﾖｺﾊﾞ,3050854,8
苅間,ｶﾘﾏ,3050822,8
神郡,ｶﾝｺﾞｵﾘ,3004212,8
観音台,ｶﾝﾉﾝﾀﾞｲ,3050856,8
吉瀬,ｷｾ,3050022,8
北太田,ｷﾀｵｵﾀ,3004232,8
北郷,ｷﾀｻﾄ,3050811,8
北中島,ｷﾀﾅｶｼﾞﾏ,3050072,8
北中妻,ｷﾀﾅｶﾂﾞﾏ,3050066,8
北原,ｷﾀﾊﾗ,3003266,8
君島,ｷﾐｼﾞﾏ,3004233,8
茎崎,ｸｷｻﾞｷ,3001272,8
国松,ｸﾆﾏﾂ,3004354,8
九万坪,ｸﾏﾝﾂﾎﾞ,3001262,8
倉掛,ｸﾗｶｹ,3050024,8
栗原,ｸﾘﾊﾗ,3050001,8
