another_name,another_name_kana,post_id,prefecture_id
,,0000000,44
網代,ｱｼﾞﾛ,8792682,44
井無田町,ｲﾑﾀﾏﾁ,8792445,44
入船東町,ｲﾘﾌﾈﾋｶﾞｼﾏﾁ,8792459,44
入船西町,ｲﾘﾌﾈﾆｼﾏﾁ,8792458,44
岩屋町,ｲﾜﾔﾏﾁ,8792411,44
大友町,ｵｵﾄﾓﾏﾁ,8792431,44
岡町,ｵｶﾏﾁ,8792455,44
堅浦,ｶﾀｳﾗ,8792475,44
上青江,ｶﾐｱｵｴ,8792461,44
上宮本町,ｶﾐﾐﾔﾓﾄﾏﾁ,8792436,44
合ノ元町,ｺﾞｳﾉﾓﾄﾏﾁ,8792471,44
小園町,ｺｿﾞﾉﾏﾁ,8792453,44
地蔵町,ｼﾞｿﾞｳﾏﾁ,8792454,44
志手町,ｼﾃﾏﾁ,8792457,44
下青江,ｼﾓｱｵｴ,8792446,44
新町,ｼﾝﾏﾁ,8792451,44
セメント町,ｾﾒﾝﾄﾏﾁ,8792443,44
高洲町,ﾀｶｽﾏﾁ,8792412,44
立花町,ﾀﾁﾊﾞﾅﾏﾁ,8792434,44
千怒,ﾁﾇ,8792401,44
中央町,ﾁｭｳｵｳﾏﾁ,8792441,44
津久見,ﾂｸﾐ,8792421,44
津久見浦,ﾂｸﾐｳﾗ,8792413,44
徳浦,ﾄｸｳﾗ,8792474,44
徳浦本町,ﾄｸｳﾗﾎﾝﾏﾁ,8792472,44
徳浦宮町,ﾄｸｳﾗﾐﾔﾏﾁ,8792473,44
中田町,ﾅｶﾀﾞﾏﾁ,8792433,44
中町,ﾅｶﾏﾁ,8792452,44
長目,ﾅｶﾞﾒ,8792476,44
日見,ﾋﾐ,8792681,44
文京町,ﾌﾞﾝｷｮｳﾏﾁ,8792432,44
保戸島,ﾎﾄｼﾞﾏ,8792501,44
港町,ﾐﾅﾄﾏﾁ,8792442,44
宮本町,ﾐﾔﾓﾄﾏﾁ,8792435,44
元町,ﾓﾄﾏﾁ,8792444,44
門前町,ﾓﾝｾﾞﾝﾏﾁ,8792456,44
八戸,ﾔﾄ,8792422,44
四浦,ﾖｳﾗ,8792683,44
