another_name,another_name_kana,post_id,prefecture_id
,,0000000,8
赤浜,ｱｶﾊﾏ,3004523,8
旭ケ丘,ｱｻﾋｶﾞｵｶ,3080836,8
新井新田,ｱﾗｲｼﾝﾃﾞﾝ,3004516,8
有田,ｱﾘﾀ,3004512,8
飯島,ｲｲｼﾞﾏ,3080064,8
飯田,ｲｲﾀﾞ,3080835,8
伊讃美,ｲｻﾐ,3080853,8
伊佐山,ｲｻﾔﾏ,3080856,8
石塔,ｲｼﾄｳ,3080075,8
石原田,ｲｼﾊﾗﾀﾞ,3080055,8
泉,ｲｽﾞﾐ,3080076,8
板橋,ｲﾀﾊﾞｼ,3080116,8
市野辺,ｲﾁﾉﾍﾞ,3080827,8
一本松,ｲｯﾎﾟﾝﾏﾂ,3080842,8
井出蛯沢,ｲﾃﾞｴﾋﾞｻﾜ,3091108,8
稲野辺,ｲﾅﾉﾍﾞ,3080805,8
稲荷,ｲﾅﾘ,3080106,8
犬塚,ｲﾇﾂﾞｶ,3080117,8
井上,ｲﾉｳｴ,3080101,8
上野,ｳｴﾉ,3080129,8
内淀,ｳﾁﾖﾄﾞ,3004507,8
江,ｴ,3080128,8
海老江,ｴﾋﾞｴ,3004538,8
海老ケ島,ｴﾋﾞｶﾞｼﾏ,3004517,8
大島,ｵｵｼﾏ,3091125,8
大関,ｵｵｾﾞｷ,3080015,8
大塚,ｵｵﾂｶ,3080813,8
大林,ｵｵﾊﾞﾔｼ,3004537,8
大谷,ｵｵﾔ,3080852,8
岡芹,ｵｶｾﾞﾘ,3080051,8
小川,ｵｶﾞﾜ,3080857,8
奥田,ｵｸﾀﾞ,3080012,8
小栗,ｵｸﾞﾘ,3091101,8
女方,ｵｻﾞｶﾀ,3080854,8
押尾,ｵｼﾋﾞ,3004511,8
落合,ｵﾁｱｲ,3080002,8
乙,ｵﾂ,3080041,8
小林,ｵﾊﾞﾔｼ,3080806,8
折本,ｵﾘﾓﾄ,3080007,8
嘉家佐和,ｶｹﾞｻﾜ,3080837,8
梶内,ｶｼﾞｳﾁ,3080107,8
門井,ｶﾄﾞｲ,3091107,8
金丸,ｶﾅﾏﾙ,3080804,8
上川中子,ｶﾐｶﾜﾅｺﾞ,3080815,8
上中山,ｶﾐﾅｶﾔﾏ,3080017,8
上西郷谷,ｶﾐﾆｼｺﾞﾔ,3004502,8
上平塚,ｶﾐﾋﾗﾂｶ,3080067,8
上星谷,ｶﾐﾎｼﾔ,3091111,8
神分,ｶﾐﾜｹ,3080063,8
川澄,ｶﾜｽﾐ,3080801,8
川連,ｶﾜﾂﾞﾚ,3080814,8
木戸,ｷﾄﾞ,3080104,8
久地楽,ｸｼﾞﾗ,3091103,8
口戸,ｸﾁﾄﾞ,3080071,8
倉持,ｸﾗﾓﾁ,3004515,8
栗島,ｸﾘｼﾏ,3080061,8
黒子,ｸﾛｺﾞ,3080102,8
桑山,ｸﾜﾔﾏ,3091127,8
甲,ｺｳ,3080021,8
国府田,ｺｳﾀﾞ,3080004,8
子思儀,ｺｼｷﾞ,3080077,8
五所宮,ｺﾞｼｮﾐﾔ,3080866,8
小塙,ｺﾊﾞﾅ,3080862,8
幸町,ｻｲﾜｲﾁｮｳ,3080848,8
鷺島,ｻｷﾞｼﾏ,3004532,8
笹塚,ｻｻﾂﾞｶ,3080065,8
山王堂,ｻﾝｵｳﾄﾞｳ,3004514,8
三郷,ｻﾝｺﾞｳ,3091105,8
柴山,ｼﾊﾞﾔﾏ,3080072,8
島,ｼﾏ,3080823,8
清水,ｼﾐｽﾞ,3091126,8
下江連,ｼﾓｴﾂﾞﾚ,3080851,8
下岡崎,ｼﾓｵｶｻﾞｷ,3080826,8
下川島,ｼﾓｶﾜｼﾏ,3080855,8
下川中子,ｼﾓｶﾜﾅｺﾞ,3004545,8
下郷谷,ｼﾓｺﾞｳﾔ,3091123,8
