another_name,another_name_kana,post_id,prefecture_id
,,0000000,6
青柳町,ｱｵﾔｷﾞﾁｮｳ,9970832,6
温海,ｱﾂﾐ,9997205,6
温海川,ｱﾂﾐｶﾞﾜ,9997312,6
油戸,ｱﾌﾞﾗﾄ,9971205,6
荒井京田,ｱﾗｲｷｮｳﾃﾞﾝ,9970051,6
荒沢,ｱﾗｻﾜ,9970621,6
荒俣,ｱﾗﾏﾀ,9997673,6
新屋敷,ｱﾗﾔｼｷ,9997682,6
安丹,ｱﾝﾀﾝ,9970057,6
砂谷,ｲｻｺﾞﾀﾞﾆ,9970755,6
泉町,ｲｽﾞﾐﾏﾁ,9970033,6
伊勢原町,ｲｾﾊﾗﾏﾁ,9970802,6
伊勢横内,ｲｾﾖｺｳﾁ,9970803,6
板井川,ｲﾀｲｶﾞﾜ,9970331,6
稲生,ｲﾅｵｲ,9970834,6
井岡,ｲﾉｵｶ,9970842,6
今泉,ｲﾏｲｽﾞﾐ,9971206,6
五十川,ｲﾗｶﾞﾜ,9997207,6
馬町,ｳﾏﾏﾁ,9971125,6
越後京田,ｴﾁｺﾞｷｮｳﾃﾞﾝ,9997635,6
越中山,ｴｯﾁｭｳﾔﾏ,9970403,6
海老島町,ｴﾋﾞｼﾞﾏﾏﾁ,9970823,6
大網,ｵｵｱﾐ,9970531,6
大荒,ｵｵｱﾗ,9997547,6
大岩川,ｵｵｲﾜｶﾞﾜ,9997123,6
大川渡,ｵｵｶﾜﾄﾞ,9997661,6
大塚町,ｵｵﾂｶﾏﾁ,9970047,6
大鳥,ｵｵﾄﾘ,9970622,6
大西町,ｵｵﾆｼﾏﾁ,9970831,6
大針,ｵｵﾊﾞﾘ,9970414,6
大広,ｵｵﾋﾛ,9997543,6
大山,ｵｵﾔﾏ,0000000,6
大淀川,ｵｵﾖﾄﾞｶﾜ,9970854,6
岡山,ｵｶﾔﾏ,9970843,6
遠賀原,ｵｶﾞﾜﾗ,9970806,6
小国,ｵｸﾞﾆ,9997316,6
小名部,ｵﾅﾍﾞ,9997125,6
面野山,ｵﾓﾉﾔﾏ,9971116,6
覚岸寺,ｶｸｶﾞﾝｼﾞ,9970052,6
堅苔沢,ｶﾀﾉﾘｻﾞﾜ,9997461,6
家中新町,ｶﾁｭｳｼﾝﾏﾁ,9970036,6
桂荒俣,ｶﾂﾗｱﾗﾏﾀ,9970343,6
金谷,ｶﾅﾔ,9970365,6
金沢,ｶﾈｻﾞﾜ,9971203,6
上清水,ｶﾐｼﾐｽﾞ,9970847,6
上田沢,ｶﾐﾀｻﾞﾜ,9970623,6
上中野目,ｶﾐﾅｶﾉﾒ,9997664,6
上名川,ｶﾐﾅｶﾞﾜ,9970405,6
上畑町,ｶﾐﾊﾀﾏﾁ,9970032,6
上藤島,ｶﾐﾌｼﾞｼﾏ,9997611,6
上山添,ｶﾐﾔﾏｿﾞｴ,9970346,6
上山谷,ｶﾐﾔﾏﾔ,9970367,6
加茂,ｶﾓ,9971204,6
我老林,ｶﾞﾛｳﾊﾞﾔｼ,9970805,6
川尻,ｶﾜｼﾘ,9997644,6
北京田,ｷﾀｷｮｳﾃﾞﾝ,9970053,6
木野俣,ｷﾉﾏﾀ,9997313,6
切添町,ｷﾘｿﾞｴﾏﾁ,9970022,6
工藤,ｸﾄﾞｳ,9997646,6
熊出,ｸﾏｲﾃﾞ,9970411,6
倉沢,ｸﾗｻﾜ,9970624,6
黒川,ｸﾛｶﾜ,9970311,6
小岩川,ｺｲﾜｶﾞﾜ,9997122,6
越沢,ｺｴｻﾜ,9997314,6
小京田,ｺｷｮｳﾃﾞﾝ,9970005,6
小菅野代,ｺｽｶﾞﾉﾀﾞｲ,9997206,6
