another_name,another_name_kana,post_id,prefecture_id
,,0000000,24
相生町,ｱｲｵｲﾁｮｳ,5140017,24
青葉台,ｱｵﾊﾞﾀﾞｲ,5141139,24
阿漕町,ｱｺｷﾞﾏﾁ,5140811,24
愛宕町,ｱﾀｺﾞﾁｮｳ,5140022,24
安濃町安濃,ｱﾉｳﾁｮｳｱﾉｳ,5142302,24
安濃町安部,ｱﾉｳﾁｮｳｱﾍﾞ,5142327,24
安濃町荒木,ｱﾉｳﾁｮｳｱﾗｷ,5142301,24
安濃町内多,ｱﾉｳﾁｮｳｳﾁﾀﾞ,5142303,24
安濃町粟加,ｱﾉｳﾁｮｳｵｳｶ,5142324,24
安濃町太田,ｱﾉｳﾁｮｳｵｵﾀ,5142304,24
安濃町大塚,ｱﾉｳﾁｮｳｵｵﾂｶ,5142323,24
安濃町川西,ｱﾉｳﾁｮｳｶﾜﾆｼ,5142308,24
安濃町草生,ｱﾉｳﾁｮｳｸｻﾜ,5142328,24
安濃町神田,ｱﾉｳﾁｮｳｺｳﾀﾞ,5142311,24
安濃町光明寺,ｱﾉｳﾁｮｳｺｳﾐｮｳｼﾞ,5142315,24
安濃町今徳,ｱﾉｳﾁｮｳｺﾝﾄﾞｸ,5142313,24
安濃町清水,ｱﾉｳﾁｮｳｼﾐｽﾞ,5142305,24
安濃町浄土寺,ｱﾉｳﾁｮｳｼﾞｮｳﾄﾞｳｼﾞ,5142307,24
安濃町曽根,ｱﾉｳﾁｮｳｿﾈ,5142306,24
安濃町田端上野,ｱﾉｳﾁｮｳﾀﾊﾞﾀｳｴﾉ,5142325,24
安濃町連部,ｱﾉｳﾁｮｳﾂﾗﾍﾞ,5142312,24
安濃町東観音寺,ｱﾉｳﾁｮｳﾄｳｶﾝｵﾝｼﾞ,5142326,24
安濃町戸島,ｱﾉｳﾁｮｳﾄｼﾏ,5142322,24
安濃町中川,ｱﾉｳﾁｮｳﾅｶｶﾞﾜ,5142318,24
安濃町野口,ｱﾉｳﾁｮｳﾉｸﾞﾁ,5142321,24
安濃町前野,ｱﾉｳﾁｮｳﾏｴﾉ,5142317,24
安濃町南神山,ｱﾉｳﾁｮｳﾐﾅﾐｺﾔﾏ,5142316,24
安濃町妙法寺,ｱﾉｳﾁｮｳﾐｮｳﾎｳｼﾞ,5142314,24
あのつ台,ｱﾉﾂﾀﾞｲ,5140131,24
安東町,ｱﾝﾄｳﾁｮｳ,5140058,24
一身田大古曽,ｲｯｼﾝﾃﾞﾝｵｵｺﾞｿ,5140113,24
一身田上津部田,ｲｯｼﾝﾃﾞﾝｺｳﾂﾞﾍﾞﾀ,5140061,24
一身田豊野,ｲｯｼﾝﾃﾞﾝﾄﾖﾉ,5140115,24
一身田中野,ｲｯｼﾝﾃﾞﾝﾅｶﾉ,5140112,24
一身田平野,ｲｯｼﾝﾃﾞﾝﾋﾗﾉ,5140111,24
一身田町,ｲｯｼﾝﾃﾞﾝﾁｮｳ,5140114,24
一志町井生,ｲﾁｼﾁｮｳｲｳ,5152523,24
一志町石橋,ｲﾁｼﾁｮｳｲｼﾊﾞｼ,5152525,24
一志町井関,ｲﾁｼﾁｮｳｲｾｷﾞ,5152521,24
一志町大仰,ｲﾁｼﾁｮｳｵｵﾉｷ,5152524,24
一志町小山,ｲﾁｼﾁｮｳｵﾔﾏ,5152514,24
一志町小山小山台地,ｲﾁｼﾁｮｳｵﾔﾏｵﾔﾏﾀﾞｲﾁ,5152514,24
一志町片野,ｲﾁｼﾁｮｳｶﾀﾉ,5152511,24
一志町小戸木,ｲﾁｼﾁｮｳｺﾍﾞｷ,5152505,24
一志町庄村,ｲﾁｼﾁｮｳｼｮｳﾑﾗ,5152501,24
一志町新沢田,ｲﾁｼﾁｮｳｼﾝｻﾜﾀﾞ,5152512,24
一志町其倉,ｲﾁｼﾁｮｳｿﾉｸﾗ,5152526,24
一志町其村,ｲﾁｼﾁｮｳｿﾉﾑﾗ,5152502,24
一志町高野,ｲﾁｼﾁｮｳﾀｶﾉ,5152504,24
一志町高野高野団地,ｲﾁｼﾁｮｳﾀｶﾉﾀｶﾉﾀﾞﾝﾁ,5152504,24
