another_name,another_name_kana,post_id,prefecture_id
,,0000000,35
相生町,ｱｲｵｲﾁｮｳ,7550043,35
上条,ｱｹﾞｼﾞｮｳ,7550801,35
朝日町,ｱｻﾋﾏﾁ,7550041,35
芦河内,ｱｼｶﾞﾜﾁ,7570211,35
あすとぴあ,ｱｽﾄﾋﾟｱ,7550152,35
荒瀬,ｱﾗｾ,7590131,35
櫟原,ｲﾁｲﾊﾞﾗ,7541314,35
居能町,ｲﾉｳﾁｮｳ,7550055,35
今富,ｲﾏﾄﾞﾐ,7570212,35
今村北,ｲﾏﾑﾗｷﾀ,7550155,35
今村南,ｲﾏﾑﾗﾐﾅﾐ,7550154,35
岩鼻町,ｲﾜﾊﾅﾁｮｳ,7550810,35
上町,ｳｴﾏﾁ,7550051,35
棯小野,ｳﾂｷﾞｵﾉ,7541312,35
鵜の島町,ｳﾉｼﾏﾁｮｳ,7550062,35
瓜生野,ｳﾘｭｳﾉ,7590135,35
大小路,ｵｵｼｮｳｼﾞ,7550076,35
沖宇部,ｵｷｳﾍﾞ,7550001,35
沖ノ旦,ｵｷﾉﾀﾞﾝ,7590202,35
奥万倉,ｵｸﾏｸﾞﾗ,7570213,35
小野,ｵﾉ,7541311,35
恩田町,ｵﾝﾀﾞﾁｮｳ,7550023,35
海南町,ｶｲﾅﾝﾁｮｳ,7550038,35
上宇部,ｶﾐｳﾍﾞ,7550091,35
上野中町,ｶﾐﾉﾅｶﾁｮｳ,7550092,35
神原町,ｶﾐﾊﾗﾁｮｳ,7550022,35
亀浦,ｶﾒｳﾗ,7550002,35
川上,ｶﾜｶﾐ,7550084,35
川添,ｶﾜｿﾞｴ,7550074,35
北小羽山町,ｷﾀｵﾊﾞﾔﾏﾁｮｳ,7550081,35
北琴芝,ｷﾀｺﾄｼﾊﾞ,7550036,35
北迫新町,ｷﾀｻｺｼﾝﾏﾁ,7550093,35
北条,ｷﾀｼﾞｮｳ,7550802,35
木田,ｷﾀﾞ,7590136,35
際波,ｷﾜﾅﾐ,7590207,35
草江,ｸｻｴ,7550004,35
車地,ｸﾙﾏｼﾞ,7590133,35
黒石北,ｸﾛｲｼｷﾀ,7590213,35
厚南北,ｺｳﾅﾝｷﾀ,7590209,35
厚南中央,ｺｳﾅﾝﾁｭｳｵｳ,7590212,35
小串,ｺｸﾞｼ,7550067,35
五十目山町,ｺﾞｼﾞｭｳﾒﾔﾏﾁｮｳ,7550005,35
琴崎町,ｺﾄｻﾞｷﾁｮｳ,7550075,35
琴芝町,ｺﾄｼﾊﾞﾁｮｳ,7550033,35
寿町,ｺﾄﾌﾞｷﾁｮｳ,7550032,35
小松原町,ｺﾏﾂﾊﾞﾗﾁｮｳ,7550066,35
幸町,ｻｲﾜｲﾏﾁ,7550012,35
笹山町,ｻｻﾔﾏﾁｮｳ,7550015,35
芝中町,ｼﾊﾞﾅｶﾁｮｳ,7550017,35
島,ｼﾏ,7550047,35
下条,ｼﾓｼﾞｮｳ,7550048,35
昭和町,ｼｮｳﾜﾁｮｳ,7550011,35
新天町,ｼﾝﾃﾝﾁｮｳ,7550029,35
新町,ｼﾝﾏﾁ,7550044,35
末信,ｽｴﾉﾌﾞ,7590123,35
末広町,ｽｴﾋﾛﾁｮｳ,7550014,35
助田町,ｽｹﾀﾞﾁｮｳ,7550054,35
棚井,ﾀﾅｲ,7590121,35
中央町,ﾁｭｳｵｳﾁｮｳ,7550045,35
常藤町,ﾂﾈﾌｼﾞﾁｮｳ,7550021,35
妻崎開作,ﾂﾏｻﾞｷｶﾞｲｻｸ,7590204,35
寺の前町,ﾃﾗﾉﾏｴﾁｮｳ,7550078,35
常盤台,ﾄｷﾜﾀﾞｲ,7550097,35
常盤町,ﾄｷﾜﾁｮｳ,7550031,35
床波,ﾄｺﾅﾐ,7550153,35
中宇部,ﾅｶｳﾍﾞ,7550086,35
中尾,ﾅｶｵ,7550073,35
中野開作,ﾅｶﾉｶﾞｲｻｸ,7590203,35
中村,ﾅｶﾑﾗ,7550072,35
中山,ﾅｶﾔﾏ,7550058,35
鍋倉町,ﾅﾍﾞｸﾗﾁｮｳ,7550064,35
西宇部北,ﾆｼｳﾍﾞｷﾀ,7590211,35
西宇部南,ﾆｼｳﾍﾞﾐﾅﾐ,7590208,35
西沖の山,ﾆｼｵｷﾉﾔﾏ,7590205,35
西梶返,ﾆｼｶｼﾞｶﾞｴｼ,7550037,35
錦町,ﾆｼｷﾁｮｳ,7550018,35
西吉部,ﾆｼｷﾍﾞ,7570402,35
西岐波,ﾆｼｷﾜ,7550151,35
西小串,ﾆｼｺｸﾞｼ,7550049,35
西琴芝,ﾆｼｺﾄｼﾊﾞ,7550035,35
西中町,ﾆｼﾅｶﾁｮｳ,7550053,35
西平原,ﾆｼﾋﾗﾊﾞﾗ,7550808,35
西本町,ﾆｼﾎﾝﾏﾁ,7550052,35
