another_name,another_name_kana,post_id,prefecture_id
,,0000000,43
大矢野町維和,ｵｵﾔﾉﾏﾁｲﾜ,8693604,43
大矢野町上,ｵｵﾔﾉﾏﾁｶﾐ,8693602,43
大矢野町中,ｵｵﾔﾉﾏﾁﾅｶ,8693603,43
大矢野町登立,ｵｵﾔﾉﾏﾁﾉﾎﾞﾘﾀﾃ,8693601,43
大矢野町湯島,ｵｵﾔﾉﾏﾁﾕｼﾏ,8693711,43
姫戸町姫浦,ﾋﾒﾄﾞﾏﾁﾋﾒｳﾗ,8660101,43
姫戸町二間戸,ﾋﾒﾄﾞﾏﾁﾌﾀﾏﾄﾞ,8660102,43
松島町合津,ﾏﾂｼﾏﾏﾁｱｲﾂ,8616102,43
松島町阿村,ﾏﾂｼﾏﾏﾁｱﾑﾗ,8616101,43
松島町今泉,ﾏﾂｼﾏﾏﾁｲﾏｲｽﾞﾐ,8616103,43
松島町内野河内,ﾏﾂｼﾏﾏﾁｳﾁﾉｶﾜｳﾁ,8616104,43
松島町教良木,ﾏﾂｼﾏﾏﾁｷｮｳﾗｷﾞ,8616105,43
龍ケ岳町大道,ﾘｭｳｶﾞﾀｹﾏﾁｵｵﾄﾞｳ,8660201,43
龍ケ岳町高戸,ﾘｭｳｶﾞﾀｹﾏﾁﾀｶﾄﾞ,8660202,43
龍ケ岳町樋島,ﾘｭｳｶﾞﾀｹﾏﾁﾋﾉｼﾏ,8660203,43
