another_name,another_name_kana,post_id,prefecture_id
,,0000000,26
池尾,ｲｹﾉｵ,6011394,26
伊勢田町,ｲｾﾀﾞﾁｮｳ,6110043,26
伊勢田町名木,ｲｾﾀﾞﾁｮｳﾅｷﾞ,6110044,26
宇治,ｳｼﾞ,6110021,26
大久保町,ｵｵｸﾎﾞﾁｮｳ,6110033,26
小倉町,ｵｸﾞﾗﾁｮｳ,6110042,26
折居台,ｵﾘｲﾀﾞｲ,6110023,26
五ケ庄,ｺﾞｶｼｮｳ,6110011,26
木幡,ｺﾊﾀ,6110002,26
志津川,ｼﾂｶﾜ,6110015,26
白川,ｼﾗｶﾜ,6110022,26
神明,ｼﾝﾒｲ,6110025,26
炭山,ｽﾐﾔﾏ,6011395,26
寺山台,ﾃﾗﾔﾏﾀﾞｲ,6110032,26
天神台,ﾃﾝｼﾞﾝﾀﾞｲ,6110029,26
莵道東垣内,ﾄﾄﾞｳﾋｶﾞｼｶﾞｲﾄ,6011396,26
莵道,ﾄﾄﾞｳ,6110013,26
南陵町,ﾅﾝﾘｮｳﾁｮｳ,6110028,26
二尾,ﾆｵ,6011393,26
西笠取,ﾆｼｶｻﾄﾘ,6011392,26
羽戸山,ﾊﾄﾞﾔﾏ,6110012,26
羽拍子町,ﾊﾋﾞｮｳｼﾁｮｳ,6110027,26
東笠取,ﾋｶﾞｼｶｻﾄﾘ,6011391,26
平尾台,ﾋﾗｵﾀﾞｲ,6110003,26
開町,ﾋﾗｷﾁｮｳ,6110026,26
広野町,ﾋﾛﾉﾁｮｳ,6110031,26
琵琶台,ﾋﾞﾜﾀﾞｲ,6110024,26
槇島町,ﾏｷｼﾏﾁｮｳ,6110041,26
明星町,ﾐｮｳｼﾞｮｳﾁｮｳ,6110014,26
安田町,ﾔｽﾀﾞﾁｮｳ,6110045,26
六地蔵,ﾛｸｼﾞｿﾞｳ,6110001,26
