another_name,another_name_kana,post_id,prefecture_id
,,0000000,40
浮羽町朝田,ｳｷﾊﾏﾁｱｻﾀﾞ,8391401,40
浮羽町妹川,ｳｷﾊﾏﾁｲﾓｶﾞﾜ,8391415,40
浮羽町浮羽,ｳｷﾊﾏﾁｳｷﾊ,8391402,40
浮羽町小塩,ｳｷﾊﾏﾁｺｼﾞｵ,8391412,40
浮羽町高見,ｳｷﾊﾏﾁﾀｶﾐ,8391406,40
浮羽町田篭,ｳｷﾊﾏﾁﾀｺﾞﾓﾘ,8391414,40
浮羽町流川,ｳｷﾊﾏﾁﾅｶﾞﾚｶﾜ,8391411,40
浮羽町新川,ｳｷﾊﾏﾁﾆｲｶﾜ,8391413,40
浮羽町西隈上,ｳｷﾊﾏﾁﾆｼｸﾏﾉｳｴ,8391404,40
浮羽町東隈上,ｳｷﾊﾏﾁﾋｶﾞｼｸﾏﾉｳｴ,8391403,40
浮羽町古川,ｳｷﾊﾏﾁﾌﾙｶﾜ,8391405,40
浮羽町三春,ｳｷﾊﾏﾁﾐﾊﾙ,8391407,40
浮羽町山北,ｳｷﾊﾏﾁﾔﾏｷﾀ,8391408,40
吉井町,ﾖｼｲﾏﾁ,8391321,40
吉井町生葉,ﾖｼｲﾏﾁｲｸﾊ,8391342,40
吉井町江南,ﾖｼｲﾏﾁｴﾅﾐ,8391341,40
吉井町清瀬,ﾖｼｲﾏﾁｷﾖｾ,8391312,40
吉井町桜井,ﾖｼｲﾏﾁｻｸﾗｲ,8391301,40
吉井町鷹取,ﾖｼｲﾏﾁﾀｶﾄﾘ,8391343,40
吉井町橘田,ﾖｼｲﾏﾁﾀﾁﾊﾞﾅﾀﾞ,8391307,40
吉井町千年,ﾖｼｲﾏﾁﾁﾄｾ,8391304,40
吉井町徳丸,ﾖｼｲﾏﾁﾄｸﾏﾙ,8391302,40
吉井町富永,ﾖｼｲﾏﾁﾄﾐﾅｶﾞ,8391333,40
吉井町長栖,ﾖｼｲﾏﾁﾅｶﾞｽ,8391344,40
吉井町新治,ﾖｼｲﾏﾁﾆｲﾊﾙ,8391306,40
吉井町福永,ﾖｼｲﾏﾁﾌｸﾅｶﾞ,8391305,40
吉井町福益,ﾖｼｲﾏﾁﾌｸﾏｽ,8391332,40
吉井町宮田,ﾖｼｲﾏﾁﾐﾔﾀﾞ,8391303,40
吉井町屋部,ﾖｼｲﾏﾁﾔﾍﾞ,8391331,40
吉井町八和田,ﾖｼｲﾏﾁﾔﾜﾀ,8391308,40
吉井町若宮,ﾖｼｲﾏﾁﾜｶﾐﾔ,8391311,40
