another_name,another_name_kana,post_id,prefecture_id
,,0000000,44
家野,ｲｴﾉ,8750065,44
板知屋,ｲﾀﾁﾔ,8750034,44
市浜,ｲﾁﾊﾏ,8750052,44
稲田,ｲﾅﾀﾞ,8750082,44
井村,ｲﾑﾗ,8750083,44
臼杵,ｳｽｷ,8750041,44
江無田,ｴﾑﾀ,8750023,44
大泊,ｵｵﾄﾏﾘ,8750033,44
大野,ｵｵﾉ,8750004,44
大浜,ｵｵﾊﾏ,8750012,44
乙見,ｵﾄﾐ,8750077,44
海添,ｶｲｿﾞｴ,8750042,44
掻懐,ｶｷﾀﾞｷ,8750073,44
風成,ｶｻﾞﾅｼ,8750032,44
久木小野,ｸｷﾞｵﾉ,8750070,44
佐志生,ｻｼｳ,8750001,44
左津留,ｻﾂﾞﾙ,8750074,44
下ノ江,ｼﾀﾉｴ,8750002,44
末広,ｽｴﾋﾛ,8750022,44
諏訪,ｽﾜ,8750011,44
田井,ﾀｲ,8750003,44
高山,ﾀｶﾔﾏ,8750078,44
岳谷,ﾀｹﾔ,8750084,44
武山,ﾀｹﾔﾏ,8750079,44
田尻,ﾀｼﾞﾘ,8750021,44
戸室,ﾄﾑﾛ,8750051,44
中臼杵,ﾅｶｳｽｷ,8750072,44
中尾,ﾅｶｵ,8750075,44
中津浦,ﾅｶﾂｳﾗ,8750013,44
二王座,ﾆｵｳｻﾞ,8750043,44
野田,ﾉﾀﾞ,8750062,44
野津町秋山,ﾉﾂﾏﾁｱｷﾔﾏ,8750221,44
野津町岩屋,ﾉﾂﾏﾁｲﾜﾔ,8750343,44
野津町烏嶽,ﾉﾂﾏﾁｳｶﾞｸ,8750232,44
野津町老松,ﾉﾂﾏﾁｵｲﾏﾂ,8750212,44
野津町王子,ﾉﾂﾏﾁｵｳｼﾞ,8750215,44
野津町落谷,ﾉﾂﾏﾁｵﾁﾀﾞﾆ,8750342,44
野津町垣河内,ﾉﾂﾏﾁｶｷｶﾞﾜﾁ,8750352,44
野津町亀甲,ﾉﾂﾏﾁｶﾒｺｳ,8750216,44
野津町西寒田,ﾉﾂﾏﾁｻｻﾑﾀ,8750237,44
野津町白岩,ﾉﾂﾏﾁｼﾗｲﾜ,8750344,44
野津町清水原,ﾉﾂﾏﾁｿｳｽﾞﾊﾞﾙ,8750341,44
野津町千塚,ﾉﾂﾏﾁﾁﾂﾞｶ,8750231,44
野津町泊,ﾉﾂﾏﾁﾄﾏﾘ,8750351,44
野津町西神野,ﾉﾂﾏﾁﾆｼｺｳﾉ,8750353,44
野津町西畑,ﾉﾂﾏﾁﾆｼﾊﾀ,8750224,44
野津町野津市,ﾉﾂﾏﾁﾉﾂｲﾁ,8750201,44
野津町八里合,ﾉﾂﾏﾁﾊﾁﾘｺﾞｳ,8750213,44
野津町原,ﾉﾂﾏﾁﾊﾙ,8750234,44
野津町東谷,ﾉﾂﾏﾁﾋｶﾞｼﾀﾆ,0000000,44
野津町東谷三重谷,ﾉﾂﾏﾁﾋｶﾞｼﾀﾆﾐｴﾀﾞﾆ,8750323,44
野津町福良木,ﾉﾂﾏﾁﾌｸﾗｷﾞ,8750214,44
野津町藤小野,ﾉﾂﾏﾁﾌｼﾞｵﾉ,8750235,44
野津町前河内,ﾉﾂﾏﾁﾏｴｶﾞﾜﾁ,8750203,44
野津町都原,ﾉﾂﾏﾁﾐﾔｺﾊﾞﾙ,8750211,44
野津町宮原,ﾉﾂﾏﾁﾐﾔﾊﾞﾙ,8750233,44
野津町山頭,ﾉﾂﾏﾁﾔﾏｽﾞ,8750202,44
野津町柚野木,ﾉﾂﾏﾁﾕﾉｷ,8750236,44
野津町吉田,ﾉﾂﾏﾁﾖｼﾀﾞ,8750222,44
東神野,ﾋｶﾞｼｺｳﾉ,8750076,44
深江,ﾌｶｴ,8750031,44
深田,ﾌｶﾀ,8750064,44
福良,ﾌｸﾗ,8750053,44
藤河内,ﾌｼﾞｶﾜﾁ,8750081,44
前田,ﾏｴﾀﾞ,8750061,44
望月,ﾓﾁﾂﾞｷ,8750063,44
吉小野,ﾖｼｵﾉ,8750071,44
