another_name,another_name_kana,post_id,prefecture_id
,,0000000,3
穴明,ｱﾅｱｹ,0295503,3
上野々３９地割,ｳｴﾉﾉ39ﾁﾜﾘ,0295511,3
越中畑,ｴｯﾁｭｳﾊﾀ,0295523,3
大沓３６地割,ｵｵｸﾂ36ﾁﾜﾘ,0295507,3
大渡５７地割,ｵｵﾜﾀﾘ57ﾁﾜﾘ,0295521,3
甲子５１地割,ｶｯﾁ51ﾁﾜﾘ,0295513,3
桂子沢,ｶﾂﾗｺﾞｻﾞﾜ,0295523,3
樺沢,ｶﾊﾞｻﾜ,0295502,3
川尻,ｶﾜｼﾘ,0295512,3
草井沢４７地割,ｸｻｲｻﾞﾜ47ﾁﾜﾘ,0295513,3
小繋沢,ｺﾂﾅｷﾞｻﾞﾜ,0295521,3
左草,ｻｿｳ,0295501,3
沢内泉沢,ｻﾜｳﾁｲｽﾞﾐｻﾞﾜ,0295616,3
沢内太田,ｻﾜｳﾁｵｵﾀ,0295614,3
沢内大野,ｻﾜｳﾁｵｵﾉ,0295612,3
沢内貝沢,ｻﾜｳﾁｶｲｻﾞﾜ,0295703,3
沢内川舟,ｻﾜｳﾁｶﾜﾌﾈ,0295701,3
沢内鍵飯,ｻﾜｳﾁｹﾝﾊﾟﾝ,0295621,3
沢内猿橋,ｻﾜｳﾁｻﾙﾊｼ,0295615,3
沢内新町,ｻﾜｳﾁｼﾝﾏﾁ,0295611,3
沢内長瀬野,ｻﾜｳﾁﾅｶﾞｾﾉ,0295617,3
沢内弁天,ｻﾜｳﾁﾍﾞﾝﾃﾝ,0295619,3
沢内前郷,ｻﾜｳﾁﾏｴｺﾞｳ,0295613,3
沢内両沢,ｻﾜｳﾁﾘｮｳｻﾞﾜ,0295618,3
沢内若畑,ｻﾜｳﾁﾜｶﾊﾀ,0295702,3
沢中,ｻﾜﾅｶ,0295523,3
下前,ｼﾀﾏｴ,0295502,3
清水ケ野１８地割,ｼﾐｽﾞｶﾞﾉ18ﾁﾜﾘ,0295503,3
下左草,ｼﾓｻｿｳ,0295501,3
白木野６７地割,ｼﾛｷﾉ67ﾁﾜﾘ,0295523,3
杉名畑４４地割,ｽｷﾞﾅﾊﾀ44ﾁﾜﾘ,0000000,3
杉名畑４４地割湯田ダム管理事務所,ｽｷﾞﾅﾊﾀ44ﾁﾜﾘﾕﾀﾞﾀﾞﾑｶﾝﾘｼﾞﾑｼｮ,0240341,3
杉名畑４４地割後口山,ｽｷﾞﾅﾊﾀ44ﾁﾜﾘｳｼﾛｸﾞﾁﾔﾏ,0240341,3
杉名畑４４地割当楽,ｽｷﾞﾅﾊﾀ44ﾁﾜﾘｱﾃﾗｸ,0240341,3
巣郷６３地割,ｽｺﾞｳ63ﾁﾜﾘ,0295522,3
槻沢,ﾂｷｻﾞﾜ,0295504,3
寅沢１５地割,ﾄﾗｻﾜ15ﾁﾜﾘ,0295502,3
中村,ﾅｶﾑﾗ,0295522,3
野々宿,ﾉﾉｼｭｸ,0295522,3
細内,ﾎｿﾅｲ,0295523,3
本内４６地割,ﾎﾝﾅｲ46ﾁﾜﾘ,0295513,3
間木野２４地割,ﾏｷﾞﾉ24ﾁﾜﾘ,0295503,3
耳取４９地割,ﾐﾐﾄﾞﾘ49ﾁﾜﾘ,0295513,3
本屋敷４８地割,ﾓﾄﾔｼｷ48ﾁﾜﾘ,0295513,3
柳沢,ﾔﾅｷﾞｻﾞﾜ,0295523,3
湯川,ﾕｶﾞﾜ,0295514,3
湯田,ﾕﾀﾞ,0295503,3
湯之沢,ﾕﾉｻﾜ,0295506,3
湯本,ﾕﾓﾄ,0295505,3
芦ケ沢７２地割,ﾖｼｶﾞｻﾜ72ﾁﾜﾘ,0295523,3
鷲之巣５０地割,ﾜｼﾉｽ50ﾁﾜﾘ,0295513,3
