another_name,another_name_kana,post_id,prefecture_id
,,0000000,24
市場,ｲﾁﾊﾞ,5161242,24
大久保,ｵｵｸﾎﾞ,5162106,24
大野木,ｵｵﾉｷ,5162102,24
小川,ｵｶﾞﾜ,5161236,24
上久具,ｶﾐｸｸﾞ,5162112,24
川上,ｶﾜｶﾐ,5161245,24
川口,ｶﾜｸﾞﾁ,5161231,24
葛原,ｸｽﾞﾜﾗ,5162101,24
栗原,ｸﾘﾊﾗ,5161232,24
五ケ町,ｺﾞｶﾉﾁｮｳ,5161237,24
小萩,ｺﾊｷﾞ,5161247,24
駒ケ野,ｺﾏｶﾞﾉ,5161235,24
坂井,ｻｶｲ,5162116,24
注連指,ｼﾒｻｽ,5162119,24
下久具,ｼﾓｸｸﾞ,5162111,24
田口,ﾀｸﾞﾁ,5162118,24
立岡,ﾀﾁｵｶ,5162107,24
棚橋,ﾀﾅﾊｼ,5162103,24
田間,ﾀﾏ,5162113,24
当津,ﾄｳﾂﾞ,5162114,24
中之郷,ﾅｶﾉｺﾞｳ,5161238,24
長原,ﾅｶﾞﾜﾗ,5162115,24
鮠川,ﾊｲｶﾜ,5162108,24
火打石,ﾋｳﾁｲｼ,5161234,24
日向,ﾋﾅﾀ,5161233,24
平生,ﾋﾛｵ,5162105,24
麻加江,ﾏｶｴ,5162117,24
牧戸,ﾏｷﾄﾞ,5162104,24
南中村,ﾐﾅﾐﾅｶﾑﾗ,5161244,24
柳,ﾔﾅｷﾞ,5161241,24
和井野,ﾜｲﾉ,5161243,24
脇出,ﾜｷﾃﾞ,5161246,24
