another_name,another_name_kana,post_id,prefecture_id
,,0000000,9
東町,ｱｽﾞﾏﾁｮｳ,3292136,9
荒井,ｱﾗｲ,3292121,9
安沢,ｱﾝｻﾞﾜ,3291572,9
石関,ｲｼｾﾞｷ,3291576,9
泉,ｲｽﾞﾐ,3292504,9
扇町,ｵｳｷﾞﾁｮｳ,3292161,9
大槻,ｵｵﾂｷ,3291575,9
乙畑,ｵﾂﾊﾀ,3291574,9
鹿島町,ｶｼﾏﾁｮｳ,3292163,9
片岡,ｶﾀｵｶ,3291571,9
片俣,ｶﾀﾏﾀ,3292155,9
上伊佐野,ｶﾐｲｻﾉ,3292501,9
上太田,ｶﾐｵｵﾀ,3292513,9
上町,ｶﾐﾁｮｳ,3292123,9
川崎反町,ｶﾜｻｷｿﾘﾏﾁ,3292144,9
木幡,ｷﾊﾞﾀ,3292142,9
倉掛,ｸﾗｶｹ,3292154,9
幸岡,ｺｳｵｶ,3292151,9
越畑,ｺｴﾊﾀ,3291573,9
こぶし台,ｺﾌﾞｼﾀﾞｲ,3291579,9
境林,ｻｶｲﾊﾞﾔｼ,3292143,9
沢,ｻﾜ,3292132,9
塩田,ｼｵﾀﾞ,3292156,9
下伊佐野,ｼﾓｲｻﾉ,3292502,9
下太田,ｼﾓｵｵﾀ,3292124,9
末広町,ｽｴﾋﾛﾁｮｳ,3292162,9
高塩,ﾀｶｼｵ,3292153,9
立足,ﾀﾂｱｼ,3292505,9
館ノ川,ﾀﾃﾉｶﾜ,3292152,9
田野原,ﾀﾉﾊﾗ,3292503,9
玉田,ﾀﾏﾀﾞ,3291577,9
土屋,ﾂﾁﾔ,3292131,9
富田,ﾄﾐﾀ,3292145,9
豊田,ﾄﾖﾀﾞ,3292133,9
中,ﾅｶ,3292135,9
長井,ﾅｶﾞｲ,3292514,9
成田,ﾅﾘﾀ,3292134,9
早川町,ﾊﾔｶﾜﾁｮｳ,3292141,9
針生,ﾊﾘｳ,3292122,9
東泉,ﾋｶﾞｼｲｽﾞﾐ,3292512,9
平野,ﾋﾗﾉ,3292506,9
本町,ﾎﾝﾁｮｳ,3292164,9
矢板,ﾔｲﾀ,3292165,9
山田,ﾔﾏﾀﾞ,3292511,9
山苗代,ﾔﾏﾅﾜｼﾛ,3291578,9
