another_name,another_name_kana,post_id,prefecture_id
,,0000000,29
秋吉,ｱｷﾖｼ,6350053,29
曙町,ｱｹﾎﾞﾉﾁｮｳ,6350012,29
旭南町,ｱｻﾋﾐﾅﾐﾁｮｳ,6350035,29
旭北町,ｱｻﾋｷﾀﾁｮｳ,6350036,29
有井,ｱﾘｲ,6350072,29
池尻,ｲｹｼﾞﾘ,6350021,29
池田,ｲｹﾀﾞ,6350077,29
礒野,ｲｿﾉ,6350093,29
礒野新町,ｲｿﾉｼﾝﾏﾁ,6350063,29
礒野東町,ｲｿﾉﾋｶﾞｼﾁｮｳ,6350061,29
礒野南町,ｲｿﾉﾐﾅﾐﾏﾁ,6350062,29
礒野北町,ｲｿﾉｷﾀﾁｮｳ,6350094,29
礒野町,ｲｿﾉﾁｮｳ,6350093,29
市場,ｲﾁﾊﾞ,6350074,29
出,ｲﾃﾞ,6350043,29
今里,ｲﾏｻﾞﾄ,6350031,29
今里川合方,ｲﾏｻﾞﾄｶﾜｲﾎｳ,6350032,29
今里町,ｲﾏｻﾞﾄﾁｮｳ,6350031,29
内本町,ｳﾁﾎﾝﾏﾁ,6350087,29
永和町,ｴｲﾜﾁｮｳ,6350083,29
大谷,ｵｵﾀﾆ,6350076,29
大中,ｵｵﾅｶ,6350095,29
大中東町,ｵｵﾅｶﾋｶﾞｼﾁｮｳ,6350091,29
大中南町,ｵｵﾅｶﾐﾅﾐﾁｮｳ,6350092,29
大東町,ｵｵﾋｶﾞｼﾁｮｳ,6350016,29
岡崎,ｵｶｻﾞｷ,6350073,29
奥田,ｵｸﾀﾞ,6350052,29
勝目,ｶｼﾞﾒ,6350042,29
春日町,ｶｽｶﾞﾁｮｳ,6350067,29
片塩町,ｶﾀｼｵﾁｮｳ,6350085,29
甘田町,ｶﾝﾀﾞﾁｮｳ,6350056,29
北片塩町,ｷﾀｶﾀｼｵﾁｮｳ,6350084,29
北本町,ｷﾀﾎﾝﾏﾁ,6350097,29
蔵之宮町,ｸﾗﾉﾐﾔﾁｮｳ,6350044,29
材木町,ｻﾞｲﾓｸﾁｮｳ,6350011,29
幸町,ｻｲﾜｲﾁｮｳ,6350015,29
栄町,ｻｶｴﾏﾁ,6350064,29
三和町,ｻﾝﾜﾁｮｳ,6350014,29
東雲町,ｼﾉﾉﾒﾁｮｳ,6350017,29
昭和町,ｼｮｳﾜﾁｮｳ,6350013,29
神楽,ｼﾞﾝﾗｸ,0000000,29
曽大根,ｿｵﾈ,0000000,29
田井,ﾀｲ,6350041,29
田井新町,ﾀｲｼﾝﾏﾁ,6350047,29
高砂町,ﾀｶｻｺﾞﾁｮｳ,6350081,29
高田,ﾀｶﾀﾞ,6350022,29
築山,ﾂｷﾔﾏ,6350071,29
土庫,ﾄﾞﾝｺﾞ,0000000,29
中今里町,ﾅｶｲﾏｻﾞﾄﾁｮｳ,6350037,29
中三倉堂,ﾅｶﾐｸﾗﾄﾞｳ,6350045,29
南陽町,ﾅﾝﾖｳﾁｮｳ,6350057,29
西坊城,ﾆｼﾎﾞｳｼﾞｮｳ,6350058,29
西町,ﾆｼﾏﾁ,6350096,29
西三倉堂,ﾆｼﾐｸﾗﾄﾞｳ,6350046,29
根成柿,ﾈﾅﾘｶﾞｷ,6350051,29
野口,ﾉｸﾞﾁ,6350075,29
東中,ﾋｶﾞｼﾅｶ,0000000,29
東三倉堂町,ﾋｶﾞｼﾐｸﾗﾄﾞｳﾁｮｳ,6350034,29
日之出町,ﾋﾉﾃﾞﾁｮｳ,6350022,29
日之出東本町,ﾋﾉﾃﾞﾋｶﾞｼﾎﾝﾏﾁ,6350023,29
日之出西本町,ﾋﾉﾃﾞﾆｼﾎﾝﾏﾁ,6350024,29
藤森,ﾌｼﾞﾉﾓﾘ,6350004,29
本郷町,ﾎﾝｺﾞｳﾁｮｳ,6350082,29
松塚,ﾏﾂﾂﾞｶ,6350001,29
南今里町,ﾐﾅﾐｲﾏｻﾞﾄﾁｮｳ,6350033,29
南本町,ﾐﾅﾐﾎﾝﾏﾁ,6350086,29
吉井,ﾖｼｲ,6350059,29
