another_name,another_name_kana,post_id,prefecture_id
,,0000000,25
菖蒲,ｱﾔﾒ,5240202,25
安治,ｱﾜｼﾞ,5202411,25
市三宅,ｲﾁﾐﾔｹ,5202362,25
井口,ｲﾉｸﾁ,5202414,25
入町,ｲﾘﾏﾁ,5202312,25
近江富士,ｵｳﾐﾌｼﾞ,5202324,25
大篠原,ｵｵｼﾉﾊﾗ,5202313,25
大畑,ｵｵﾊﾀ,5202343,25
乙窪,ｵﾁｸﾎﾞ,5202435,25
上屋,ｶﾐﾔ,5202316,25
喜合,ｷｺﾞｳ,5240203,25
北,ｷﾀ,5202305,25
北桜,ｷﾀｻﾞｸﾗ,5202321,25
北野,ｷﾀﾉ,5202361,25
北比江,ｷﾀﾋｴ,5202436,25
木部,ｷﾍﾞ,5202431,25
久野部,ｸﾉﾍﾞ,5202353,25
小篠原,ｺｼﾉﾊﾗ,5202331,25
五条,ｺﾞｼﾞｮｳ,5202424,25
小堤,ｺﾂﾞﾂﾐ,5202314,25
五之里,ｺﾞﾉﾘ,5202364,25
小比江,ｺﾋﾞｴ,5202437,25
小南,ｺﾐﾅﾐ,5202301,25
栄,ｻｶｴ,5202333,25
下堤,ｼﾓﾂﾞﾂﾐ,5202417,25
須原,ｽﾜﾗ,5202415,25
高木,ﾀｶｷﾞ,5202302,25
竹ヶ丘,ﾀｹｶﾞｵｶ,5202365,25
竹生,ﾀｹｼﾞｮｳ,5202363,25
辻町,ﾂｼﾞﾏﾁ,5202315,25
堤,ﾂﾂﾐ,5202416,25
冨波甲,ﾄﾊﾞｺｳ,5202351,25
冨波乙,ﾄﾊﾞｵﾂ,5202352,25
中北,ﾅｶｷﾀ,5202303,25
長島,ﾅｶﾞｼﾏ,5202311,25
永原,ﾅｶﾞﾊﾗ,5202304,25
西河原,ﾆｼｶﾞﾜﾗ,5202423,25
野田,ﾉﾀﾞ,5202421,25
比江,ﾋｴ,5202434,25
比留田,ﾋﾙﾀ,5202422,25
三上,ﾐｶﾐ,5202323,25
南桜,ﾐﾅﾐｻﾞｸﾗ,5202322,25
妙光寺,ﾐｮｳｺｳｼﾞ,5202332,25
虫生,ﾑｼｭｳ,5202432,25
野洲,ﾔｽ,5202342,25
八夫,ﾔﾌﾞ,5202433,25
行畑,ﾕｷﾊﾀ,5202341,25
吉川,ﾖｼｶﾜ,5240201,25
吉地,ﾖｼｼﾞ,5202413,25
六条,ﾛｸｼﾞｮｳ,5202412,25
