another_name,another_name_kana,post_id,prefecture_id
,,0000000,14
青葉台,ｱｵﾊﾞﾀﾞｲ,2270062,14
あかね台,ｱｶﾈﾀﾞｲ,2270066,14
あざみ野,ｱｻﾞﾐﾉ,2250011,14
あざみ野南,ｱｻﾞﾐﾉﾐﾅﾐ,2250012,14
市ケ尾町,ｲﾁｶﾞｵﾁｮｳ,2250024,14
美しが丘,ｳﾂｸｼｶﾞｵｶ,2250002,14
美しが丘西,ｳﾂｸｼｶﾞｵｶﾆｼ,2250001,14
梅が丘,ｳﾒｶﾞｵｶ,2270052,14
荏子田,ｴｺﾀﾞ,2250005,14
荏田町,ｴﾀﾞﾁｮｳ,2250013,14
荏田西,ｴﾀﾞﾆｼ,2250014,14
荏田北,ｴﾀﾞｷﾀ,2250015,14
榎が丘,ｴﾉｷｶﾞｵｶ,2270063,14
大場町,ｵｵﾊﾞﾁｮｳ,2250023,14
恩田町,ｵﾝﾀﾞﾁｮｳ,2270065,14
柿の木台,ｶｷﾉｷﾀﾞｲ,2270048,14
桂台,ｶﾂﾗﾀﾞｲ,2270034,14
上谷本町,ｶﾐﾔﾓﾄﾁｮｳ,2270041,14
鴨志田町,ｶﾓｼﾀﾞﾁｮｳ,2270033,14
鉄町,ｸﾛｶﾞﾈﾁｮｳ,2250025,14
黒須田,ｸﾛｽﾀﾞ,2250022,14
桜台,ｻｸﾗﾀﾞｲ,2270061,14
さつきが丘,ｻﾂｷｶﾞｵｶ,2270053,14
寺家町,ｼﾞｹﾁｮｳ,2270031,14
下谷本町,ｼﾓﾔﾓﾄﾁｮｳ,2270042,14
しらとり台,ｼﾗﾄﾘﾀﾞｲ,2270054,14
新石川,ｼﾝｲｼｶﾜ,2250003,14
すすき野,ｽｽｷﾉ,2250021,14
すみよし台,ｽﾐﾖｼﾀﾞｲ,2270035,14
たちばな台,ﾀﾁﾊﾞﾅﾀﾞｲ,2270046,14
田奈町,ﾀﾅﾁｮｳ,2270064,14
千草台,ﾁｸﾞｻﾀﾞｲ,2270051,14
つつじが丘,ﾂﾂｼﾞｶﾞｵｶ,2270055,14
奈良,ﾅﾗ,2270038,14
奈良町,ﾅﾗﾁｮｳ,2270036,14
成合町,ﾅﾘｱｲﾁｮｳ,2270032,14
藤が丘,ﾌｼﾞｶﾞｵｶ,2270043,14
松風台,ﾏﾂｶｾﾞﾀﾞｲ,2270067,14
みすずが丘,ﾐｽｽﾞｶﾞｵｶ,2250016,14
みたけ台,ﾐﾀｹﾀﾞｲ,2270047,14
緑山,ﾐﾄﾞﾘﾔﾏ,2270037,14
もえぎ野,ﾓｴｷﾞﾉ,2270044,14
元石川町,ﾓﾄｲｼｶﾜﾁｮｳ,2250004,14
もみの木台,ﾓﾐﾉｷﾀﾞｲ,2250026,14
若草台,ﾜｶｸｻﾀﾞｲ,2270045,14
