another_name,another_name_kana,post_id,prefecture_id
,,0000000,14
磯子,ｲｿｺﾞ,2350016,14
磯子台,ｲｿｺﾞﾀﾞｲ,2350019,14
鳳町,ｵｵﾄﾘﾁｮｳ,2350006,14
岡村,ｵｶﾑﾗ,2350021,14
上町,ｶﾐﾁｮｳ,2350001,14
上中里町,ｶﾐﾅｶｻﾞﾄﾁｮｳ,2350042,14
栗木,ｸﾘｷ,2350041,14
坂下町,ｻｶｼﾀﾁｮｳ,2350003,14
汐見台,ｼｵﾐﾀﾞｲ,2350022,14
下町,ｼﾓﾁｮｳ,2350004,14
新磯子町,ｼﾝｲｿｺﾞﾁｮｳ,2350017,14
新杉田町,ｼﾝｽｷﾞﾀﾁｮｳ,2350032,14
新中原町,ｼﾝﾅｶﾊﾗﾁｮｳ,2350031,14
新森町,ｼﾝﾓﾘﾁｮｳ,2350018,14
杉田,ｽｷﾞﾀ,2350033,14
杉田坪呑,ｽｷﾞﾀﾂﾎﾞﾉﾐ,2350034,14
滝頭,ﾀｷｶﾞｼﾗ,2350012,14
田中,ﾀﾅｶ,2350035,14
中浜町,ﾅｶﾊﾏﾁｮｳ,2350014,14
中原,ﾅｶﾊﾗ,2350036,14
西町,ﾆｼﾁｮｳ,2350007,14
馬場町,ﾊﾞﾊﾞﾁｮｳ,2350002,14
原町,ﾊﾗﾏﾁ,2350008,14
東町,ﾋｶﾞｼﾁｮｳ,2350005,14
久木町,ﾋｻｷﾁｮｳ,2350015,14
氷取沢町,ﾋﾄﾘｻﾞﾜﾁｮｳ,2350043,14
広地町,ﾋﾛﾁﾁｮｳ,2350013,14
丸山,ﾏﾙﾔﾏ,2350011,14
峰町,ﾐﾈﾁｮｳ,2350044,14
森,ﾓﾘ,2350023,14
森が丘,ﾓﾘｶﾞｵｶ,2350024,14
洋光台,ﾖｳｺｳﾀﾞｲ,2350045,14
