another_name,another_name_kana,post_id,prefecture_id
,,0000000,14
青砥町,ｱｵﾄﾁｮｳ,2260022,14
いぶき野,ｲﾌﾞｷﾉ,2260028,14
上山,ｶﾐﾔﾏ,2260012,14
鴨居,ｶﾓｲ,2260003,14
鴨居町,ｶﾓｲﾁｮｳ,2260004,14
北八朔町,ｷﾀﾊｯｻｸﾁｮｳ,2260021,14
霧が丘,ｷﾘｶﾞｵｶ,2260016,14
小山町,ｺﾔﾏﾁｮｳ,2260023,14
台村町,ﾀﾞｲﾑﾗﾁｮｳ,2260014,14
竹山,ﾀｹﾔﾏ,2260005,14
寺山町,ﾃﾗﾔﾏﾁｮｳ,2260013,14
十日市場町,ﾄｵｶｲﾁﾊﾞﾁｮｳ,2260025,14
中山,ﾅｶﾔﾏ,2260019,14
長津田,ﾅｶﾞﾂﾀ,2260027,14
長津田町,ﾅｶﾞﾂﾀﾁｮｳ,2260026,14
長津田みなみ台,ﾅｶﾞﾂﾀﾐﾅﾐﾀﾞｲ,2260018,14
新治町,ﾆｲﾊﾙﾁｮｳ,2260017,14
西八朔町,ﾆｼﾊｯｻｸﾁｮｳ,2260024,14
白山,ﾊｸｻﾝ,2260006,14
東本郷,ﾋｶﾞｼﾎﾝｺﾞｳ,2260002,14
東本郷町,ﾋｶﾞｼﾎﾝｺﾞｳﾁｮｳ,2260001,14
三保町,ﾐﾎﾁｮｳ,2260015,14
森の台,ﾓﾘﾉﾀﾞｲ,2260029,14
