another_name,another_name_kana,post_id,prefecture_id
,,0000000,14
大倉山,ｵｵｸﾗﾔﾏ,2220037,14
大曽根,ｵｵｿﾈ,2220003,14
大曽根台,ｵｵｿﾈﾀﾞｲ,2220004,14
菊名,ｷｸﾅ,2220011,14
岸根町,ｷｼﾈﾁｮｳ,2220034,14
北新横浜,ｷﾀｼﾝﾖｺﾊﾏ,2230059,14
小机町,ｺﾂﾞｸｴﾁｮｳ,2220036,14
篠原台町,ｼﾉﾊﾗﾀﾞｲﾏﾁ,2220024,14
篠原町,ｼﾉﾊﾗﾁｮｳ,2220026,14
篠原西町,ｼﾉﾊﾗﾆｼﾁｮｳ,2220025,14
篠原東,ｼﾉﾊﾗﾋｶﾞｼ,2220022,14
篠原北,ｼﾉﾊﾗｷﾀ,2220021,14
下田町,ｼﾓﾀﾞﾁｮｳ,2230064,14
新横浜,ｼﾝﾖｺﾊﾏ,2220033,14
新吉田町,ｼﾝﾖｼﾀﾞﾁｮｳ,2230056,14
新吉田東,ｼﾝﾖｼﾀﾞﾋｶﾞｼ,2230058,14
高田町,ﾀｶﾀﾁｮｳ,2230063,14
高田西,ﾀｶﾀﾆｼ,2230066,14
高田東,ﾀｶﾀﾋｶﾞｼ,2230065,14
樽町,ﾀﾙﾏﾁ,2220001,14
綱島上町,ﾂﾅｼﾏｶﾐﾁｮｳ,2230055,14
綱島台,ﾂﾅｼﾏﾀﾞｲ,2230054,14
綱島東,ﾂﾅｼﾏﾋｶﾞｼ,2230052,14
綱島西,ﾂﾅｼﾏﾆｼ,2230053,14
鳥山町,ﾄﾘﾔﾏﾁｮｳ,2220035,14
仲手原,ﾅｶﾃﾊﾗ,2220023,14
錦が丘,ﾆｼｷｶﾞｵｶ,2220013,14
新羽町,ﾆｯﾊﾟﾁｮｳ,2230057,14
日吉,ﾋﾖｼ,2230061,14
日吉本町,ﾋﾖｼﾎﾝﾁｮｳ,2230062,14
富士塚,ﾌｼﾞﾂﾞｶ,2220012,14
大豆戸町,ﾏﾒﾄﾞﾁｮｳ,2220032,14
箕輪町,ﾐﾉﾜﾁｮｳ,2230051,14
師岡町,ﾓﾛｵｶﾁｮｳ,2220002,14
