another_name,another_name_kana,post_id,prefecture_id
,,0000000,14
赤門町,ｱｶﾓﾝﾁｮｳ,2200034,14
東ケ丘,ｱｽﾞﾏｶﾞｵｶ,2200033,14
伊勢町,ｲｾﾁｮｳ,2200045,14
老松町,ｵｲﾏﾂﾁｮｳ,2200032,14
岡野,ｵｶﾉ,2200073,14
霞ケ丘,ｶｽﾐｶﾞｵｶ,2200035,14
北軽井沢,ｷﾀｶﾙｲｻﾞﾜ,2200001,14
北幸,ｷﾀｻｲﾜｲ,2200004,14
楠町,ｸｽﾉｷﾁｮｳ,2200003,14
久保町,ｸﾎﾞﾁｮｳ,2200061,14
御所山町,ｺﾞｼｮﾔﾏﾁｮｳ,2200043,14
境之谷,ｻｶｲﾉﾀﾆ,2200054,14
桜木町,ｻｸﾗｷﾞﾁｮｳ,2200021,14
浅間台,ｾﾝｹﾞﾝﾀﾞｲ,2200071,14
浅間町,ｾﾝｹﾞﾝﾁｮｳ,2200072,14
高島,ﾀｶｼﾏ,2200011,14
中央,ﾁｭｳｵｳ,2200051,14
戸部町,ﾄﾍﾞﾁｮｳ,2200042,14
戸部本町,ﾄﾍﾞﾎﾝﾁｮｳ,2200041,14
西戸部町,ﾆｼﾄﾍﾞﾁｮｳ,2200046,14
西平沼町,ﾆｼﾋﾗﾇﾏﾁｮｳ,2200024,14
西前町,ﾆｼﾏｴﾁｮｳ,2200052,14
花咲町,ﾊﾅｻｷﾁｮｳ,2200022,14
浜松町,ﾊﾏﾏﾂﾁｮｳ,2200055,14
東久保町,ﾋｶﾞｼｸﾎﾞﾁｮｳ,2200062,14
平沼,ﾋﾗﾇﾏ,2200023,14
藤棚町,ﾌｼﾞﾀﾞﾅﾁｮｳ,2200053,14
緑町,ﾐﾄﾞﾘﾁｮｳ,2200013,14
みなとみらい,ﾐﾅﾄﾐﾗｲ,2200012,14
