another_name,another_name_kana,post_id,prefecture_id
,,0000000,6
相生町,ｱｲｵｲﾁｮｳ,9920032,6
赤崩,ｱｶｸｽﾞﾚ,0000000,6
赤崩山王浦,ｱｶｸｽﾞﾚｻﾝﾉｳｳﾗ,9921406,6
赤芝町,ｱｶｼﾊﾞﾏﾁ,9920075,6
浅川,ｱｻｶﾞﾜ,9920112,6
梓川,ｱｽﾞｻｶﾞﾜ,9920115,6
吾妻町,ｱﾂﾞﾏﾁｮｳ,9920034,6
アルカディア,ｱﾙｶﾃﾞｨｱ,9920119,6
泉町,ｲｽﾞﾐﾏﾁ,9920063,6
板谷,ｲﾀﾔ,9921331,6
入田沢,ｲﾘﾀｻﾞﾜ,9921583,6
駅前,ｴｷﾏｴ,9920027,6
大小屋,ｵｵｺﾞﾔ,9921204,6
大沢,ｵｵｻﾜ,0000000,6
大沢笠松,ｵｵｻﾜｶｻﾏﾂ,9921203,6
太田町,ｵｵﾀﾏﾁ,9920035,6
大平,ｵｵﾀﾞｲﾗ,9921462,6
大町,ｵｵﾏﾁ,9920031,6
小野川町,ｵﾉｶﾞﾜﾏﾁ,9920076,6
鍛冶町,ｶｼﾞﾏﾁ,9920014,6
春日,ｶｽｶﾞ,9920044,6
金池,ｶﾅｲｹ,9920012,6
上新田,ｶﾐﾆｲﾀﾞ,9920118,6
川井,ｶﾜｲ,9920117,6
川井小路,ｶﾜｲｺｳｼﾞ,9920016,6
神原,ｶﾝﾊﾞﾗ,9921582,6
木場町,ｷﾊﾞﾏﾁ,9920058,6
木和田,ｷﾜﾀﾞ,9920114,6
口田沢,ｸﾁﾀｻﾞﾜ,9921581,6
窪田町窪田,ｸﾎﾞﾀﾏﾁｸﾎﾞﾀ,9920003,6
窪田町小瀬,ｸﾎﾞﾀﾏﾁｺｾﾞ,9920004,6
窪田町東江股,ｸﾎﾞﾀﾏﾁﾋｶﾞｼｴﾏﾀ,9920001,6
窪田町藤泉,ｸﾎﾞﾀﾏﾁﾌｼﾞｲｽﾞﾐ,9920005,6
窪田町矢野目,ｸﾎﾞﾀﾏﾁﾔﾉﾒ,9920002,6
御廟,ｺﾞﾋﾞｮｳ,9920055,6
栄町,ｻｶｴﾏﾁ,9920013,6
桜木町,ｻｸﾗｷﾞﾁｮｳ,9920017,6
笹野,ｻｻﾉ,9921443,6
笹野本町,ｻｻﾉﾎﾝﾁｮｳ,9921445,6
笹野町,ｻｻﾉﾏﾁ,9921441,6
塩井町塩野,ｼｵｲﾏﾁｼｵﾉ,9920042,6
塩井町宮井,ｼｵｲﾏﾁﾐﾔｲ,9920041,6
塩野,ｼｵﾉ,9920043,6
信夫町,ｼﾉﾌﾞﾏﾁ,9920046,6
下小菅,ｼﾓｺｽｹﾞ,9920081,6
下新田,ｼﾓﾆｲﾀﾞ,9920111,6
下花沢,ｼﾓﾊﾅｻﾞﾜ,9920023,6
城西,ｼﾞｮｳｾｲ,9920054,6
城南,ｼﾞｮｳﾅﾝ,9920038,6
城北,ｼﾞｮｳﾎｸ,9920051,6
諸仏町,ｼｮﾌﾞﾂﾏﾁ,9921444,6
杉の目町,ｽｷﾞﾉﾒﾏﾁ,9920064,6
李山,ｽﾓﾓﾔﾏ,9921461,6
関,ｾｷ,9921472,6
関根,ｾｷﾈ,9921205,6
関町,ｾｷﾏﾁ,9921473,6
竹井,ﾀｹｲ,9920116,6
立町,ﾀﾂﾏﾁ,9920015,6
立石,ﾀﾃｲｼ,9921471,6
舘山,ﾀﾃﾔﾏ,9920072,6
舘山矢子町,ﾀﾃﾔﾏﾔｺﾞﾏﾁ,9920071,6
中央,ﾁｭｳｵｳ,9920045,6
綱木,ﾂﾅｷﾞ,9921474,6
遠山町,ﾄｵﾔﾏﾏﾁ,9920066,6
通町,ﾄｵﾘﾏﾁ,9920025,6
徳町,ﾄｸﾏﾁ,9920047,6
直江石堤,ﾅｵｴｾｷﾃｲ,9921446,6
直江町,ﾅｵｴﾁｮｳ,9920056,6
中田町,ﾅｶﾀﾞﾏﾁ,9920011,6
長手,ﾅｶﾞﾃ,9920113,6
成島町,ﾅﾙｼﾏﾏﾁ,9920057,6
西大通,ﾆｼｵｵﾄﾞｵﾘ,9920059,6
八幡原,ﾊﾁﾏﾝﾊﾟﾗ,9921128,6
花沢,ﾊﾅｻﾞﾜ,9920021,6
花沢町,ﾊﾅｻﾞﾜﾁｮｳ,9920022,6
万世町牛森,ﾊﾞﾝｾｲﾁｮｳｳｼﾓﾘ,9921127,6
万世町片子,ﾊﾞﾝｾｲﾁｮｳｶﾀｺ,9921125,6
万世町金谷,ﾊﾞﾝｾｲﾁｮｳｶﾅﾔ,9921124,6
万世町刈安,ﾊﾞﾝｾｲﾁｮｳｶﾘﾔｽ,9921121,6
万世町桑山,ﾊﾞﾝｾｲﾁｮｳｸﾜﾔﾏ,9921123,6
万世町梓山,ﾊﾞﾝｾｲﾁｮｳｽﾞｻﾔﾏ,9921122,6
万世町立沢,ﾊﾞﾝｾｲﾁｮｳﾀﾂｻﾞﾜ,9921201,6
万世町堂森,ﾊﾞﾝｾｲﾁｮｳﾄﾞｳﾓﾘ,9921126,6
東,ﾋｶﾞｼ,9920026,6
東大通,ﾋｶﾞｼｵｵﾄﾞｵﾘ,9920024,6
広幡町大沢,ﾋﾛﾊﾀﾏﾁｵｵｻﾜ,9920087,6
広幡町沖仲,ﾋﾛﾊﾀﾏﾁｵｷﾅｶ,9920085,6
広幡町小山田,ﾋﾛﾊﾀﾏﾁｵﾔﾏﾀﾞ,9920082,6
広幡町上小菅,ﾋﾛﾊﾀﾏﾁｶﾐｺｽｹﾞ,9920084,6
広幡町京塚,ﾋﾛﾊﾀﾏﾁｷｮｳﾂﾞｶ,9920086,6
広幡町成島,ﾋﾛﾊﾀﾏﾁﾅﾙｼﾏ,9920083,6
吹屋敷町,ﾌﾞｷﾔｼｷﾏﾁ,9920073,6
福田,ﾌｸﾀﾞ,9920036,6
福田町,ﾌｸﾀﾞﾏﾁ,9920033,6
古志田町,ﾌﾙｼﾀﾞﾏﾁ,9920065,6
芳泉町,ﾎｳｾﾝﾏﾁ,9921442,6
堀川町,ﾎﾘｶﾜﾁｮｳ,9920061,6
本町,ﾎﾝﾁｮｳ,9920037,6
松が岬,ﾏﾂｶﾞｻｷ,9920053,6
丸の内,ﾏﾙﾉｳﾁ,9920052,6
三沢,ﾐｻﾜ,9921202,6
南原石垣町,ﾐﾅﾐﾊﾗｲｼｶﾞｷﾏﾁ,9921453,6
南原猪苗代町,ﾐﾅﾐﾊﾗｲﾅﾜｼﾛﾏﾁ,9921455,6
南原笹野町,ﾐﾅﾐﾊﾗｻｻﾉﾏﾁ,9921451,6
南原新町,ﾐﾅﾐﾊﾗｼﾝﾏﾁ,9921454,6
南原横堀町,ﾐﾅﾐﾊﾗﾖｺﾎﾞﾘﾏﾁ,9921452,6
門東町,ﾓﾝﾄｳﾏﾁ,9920039,6
簗沢,ﾔﾅｻﾞﾜ,9920077,6
矢来,ﾔﾗｲ,9920074,6
林泉寺,ﾘﾝｾﾝｼﾞ,9920062,6
六郷町桐原,ﾛｸｺﾞｳﾏﾁｷﾘﾊﾞﾗ,9920091,6
六郷町轟,ﾛｸｺﾞｳﾏﾁﾄﾄﾞﾛｷ,9920094,6
六郷町長橋,ﾛｸｺﾞｳﾏﾁﾅｶﾞﾊｼ,9920096,6
六郷町西江股,ﾛｸｺﾞｳﾏﾁﾆｼｴﾏﾀ,9920092,6
六郷町西藤泉,ﾛｸｺﾞｳﾏﾁﾆｼﾌｼﾞｲｽﾞﾐ,9920093,6
六郷町一漆,ﾛｸｺﾞｳﾏﾁﾋﾄﾂｳﾙｼ,9920095,6
