another_name,another_name_kana,post_id,prefecture_id
,,0000000,36
鴨島町粟島,ｶﾓｼﾞﾏﾁｮｳｱﾜｼﾞﾏ,7760015,36
鴨島町飯尾,ｶﾓｼﾞﾏﾁｮｳｲﾉｵ,7760033,36
鴨島町牛島,ｶﾓｼﾞﾏﾁｮｳｳｼｼﾏ,7760001,36
鴨島町内原,ｶﾓｼﾞﾏﾁｮｳｳﾁﾊﾞﾗ,7760003,36
鴨島町麻植塚,ｶﾓｼﾞﾏﾁｮｳｵｴﾂﾞｶ,7760002,36
鴨島町上浦,ｶﾓｼﾞﾏﾁｮｳｶﾐｳﾗ,7760037,36
鴨島町鴨島,ｶﾓｼﾞﾏﾁｮｳｶﾓｼﾞﾏ,7760010,36
鴨島町鴨島甲,ｶﾓｼﾞﾏﾁｮｳｶﾓｼﾞﾏｺｳ,7760011,36
鴨島町鴨島乙,ｶﾓｼﾞﾏﾁｮｳｶﾓｼﾞﾏｵﾂ,7760012,36
鴨島町喜来,ｶﾓｼﾞﾏﾁｮｳｷﾗｲ,7760005,36
鴨島町喜来甲,ｶﾓｼﾞﾏﾁｮｳｷﾗｲｺｳ,7760006,36
鴨島町喜来乙,ｶﾓｼﾞﾏﾁｮｳｷﾗｲｵﾂ,7760007,36
鴨島町呉郷団地,ｶﾓｼﾞﾏﾁｮｳｺﾞｷｮｳﾀﾞﾝﾁ,7760034,36
鴨島町山路,ｶﾓｼﾞﾏﾁｮｳｻﾝｼﾞ,7760036,36
鴨島町敷地,ｶﾓｼﾞﾏﾁｮｳｼｷｼﾞ,7760031,36
鴨島町上下島,ｶﾓｼﾞﾏﾁｮｳｼﾞｮｳｹﾞｼﾞﾏ,7760013,36
鴨島町知恵島,ｶﾓｼﾞﾏﾁｮｳﾁｴｼﾞﾏ,7760014,36
鴨島町中島,ｶﾓｼﾞﾏﾁｮｳﾅｶｼﾞﾏ,7760004,36
鴨島町西麻植,ｶﾓｼﾞﾏﾁｮｳﾆｼｵｴ,7760020,36
鴨島町樋山地,ｶﾓｼﾞﾏﾁｮｳﾋﾔﾏｼﾞ,7760032,36
鴨島町森藤,ｶﾓｼﾞﾏﾁｮｳﾓﾘﾄｳ,7760035,36
川島町学,ｶﾜｼﾏﾁｮｳｶﾞｸ,7793306,36
川島町川島,ｶﾜｼﾏﾁｮｳｶﾜｼﾏ,7793301,36
川島町桑村,ｶﾜｼﾏﾁｮｳｸﾜﾑﾗ,7793303,36
川島町児島,ｶﾜｼﾏﾁｮｳｺｼﾞﾏ,7793305,36
川島町三ツ島,ｶﾜｼﾏﾁｮｳﾐﾂｼﾞﾏ,7793307,36
川島町宮島,ｶﾜｼﾏﾁｮｳﾐﾔﾉｼﾏ,7793304,36
川島町山田,ｶﾜｼﾏﾁｮｳﾔﾏﾀﾞ,7793302,36
美郷愛後,ﾐｻﾄｱｲｺﾞ,7793501,36
美郷穴地,ﾐｻﾄｱﾅｼﾞ,7793501,36
美郷一野山,ﾐｻﾄｲﾁﾉﾔﾏ,7793501,36
美郷恵美子,ﾐｻﾄｴﾋﾞｽ,7793505,36
美郷大神,ﾐｻﾄｵｵｶﾞﾐ,7793501,36
美郷大岸,ﾐｻﾄｵｵｷﾞｼ,7793502,36
美郷大佐古,ﾐｻﾄｵｵｻﾞｺ,7793502,36
美郷大鹿,ﾐｻﾄｵｵｼﾞｶ,7793505,36
美郷大野,ﾐｻﾄｵｵﾉ,7793505,36
美郷大平,ﾐｻﾄｵｵﾋﾗ,7793501,36
美郷奥分,ﾐｻﾄｵｸﾌﾞﾝ,7793502,36
美郷奥丸,ﾐｻﾄｵｸﾏﾙ,7793505,36
美郷柿谷,ﾐｻﾄｶｷﾀﾞﾆ,7793501,36
美郷樫平,ﾐｻﾄｶｼﾀﾞｲﾗ,7793502,36
美郷上谷,ﾐｻﾄｶﾐﾀﾞﾆ,7793505,36
美郷川俣,ﾐｻﾄｶﾜﾏﾀ,7793503,36
美郷川向,ﾐｻﾄｶﾜﾑｶｲ,7793502,36
美郷岸宗,ﾐｻﾄｷｼﾉﾑﾈ,7793502,36
美郷倉羅,ﾐｻﾄｸﾗﾗ,7793501,36
美郷栗木,ﾐｻﾄｸﾘﾉｷ,7793505,36
美郷来見坂,ﾐｻﾄｸﾙﾐｻﾞｶ,7793505,36
美郷暮石,ﾐｻﾄｸﾚｲｼ,7793505,36
美郷毛無,ﾐｻﾄｹﾅｼ,7793504,36
美郷古井,ﾐｻﾄｺｲ,7793501,36
美郷小竹,ﾐｻﾄｺﾀﾞｹ,7793502,36
美郷古土地,ﾐｻﾄｺﾄﾞﾁ,7793505,36
美郷木屋浦,ﾐｻﾄｺﾔﾉｳﾗ,7793505,36
美郷山王,ﾐｻﾄｻﾝﾉｳ,7793505,36
美郷重野尾,ﾐｻﾄｼｹﾞﾉｵ,7793501,36
美郷品野,ﾐｻﾄｼﾅﾉ,7793503,36
美郷下浦,ﾐｻﾄｼﾓｳﾗ,7793501,36
美郷下城戸,ﾐｻﾄｼﾓｼﾞｮｳﾄﾞ,7793501,36
美郷下畠,ﾐｻﾄｼﾓﾊﾀ,7793502,36
美郷下林,ﾐｻﾄｼﾓﾊﾞﾔｼ,7793502,36
美郷上戸峯,ﾐｻﾄｼﾞｮｳﾄﾞﾐﾈ,7793501,36
美郷菅草,ﾐｻﾄｽｹﾞｿｳ,7793505,36
美郷平,ﾐｻﾄﾀｲﾗ,7793501,36
美郷高野尾,ﾐｻﾄﾀｶﾉｵ,7793503,36
美郷滝ケ山,ﾐｻﾄﾀｷｶﾞﾔﾏ,7793501,36
美郷竹屋敷,ﾐｻﾄﾀｹﾔｼｷ,7793502,36
美郷田平,ﾐｻﾄﾀﾀﾞｲﾗ,7793501,36
美郷立石,ﾐｻﾄﾀﾃｲｼ,7793502,36
美郷谷向,ﾐｻﾄﾀﾆﾑｶｲ,7793502,36
美郷月野,ﾐｻﾄﾂｷﾉ,7793505,36
美郷照尾,ﾐｻﾄﾃﾗｵ,7793501,36
