another_name,another_name_kana,post_id,prefecture_id
,,0000000,29
芦原,ｱｼﾊﾗ,6380801,29
今木,ｲﾏｷ,6380841,29
岩壺,ｲﾜﾂﾎﾞ,6380851,29
大岩,ｵｵｲﾜ,6380842,29
北野,ｷﾀﾉ,6393125,29
北六田,ｷﾀﾑﾀﾞ,6393124,29
薬水,ｸｽﾘﾐｽﾞ,6380832,29
越部,ｺｼﾍﾞ,6380803,29
佐名伝,ｻﾅﾃ,6380831,29
下渕,ｼﾓﾌﾞﾁ,6380821,29
土田,ﾂﾁﾀﾞ,6380811,29
中増,ﾅｶﾏｼ,6393122,29
西増,ﾆｼﾏｼ,6393121,29
新野,ﾆﾉ,6393126,29
馬佐,ﾊﾞｻ,6393127,29
畑屋,ﾊﾀﾔ,6380802,29
桧垣本,ﾋｶﾞｲﾓﾄ,6380812,29
比曽,ﾋｿ,6393128,29
福神,ﾌｸｶﾞﾐ,6380833,29
鉾立,ﾎｺﾀﾃ,6380843,29
増口,ﾏｼｸﾞﾁ,6393123,29
持尾,ﾓﾁｵ,6380852,29
矢走,ﾔﾊﾞｾ,6380853,29
