another_name,another_name_kana,post_id,prefecture_id
,,0000000,29
庵住,ｲｵｽﾐ,6380552,29
沖金,ｵｷｶﾞﾈ,6380311,29
川合,ｶﾜｱｲ,6380301,29
北小原,ｷﾀｺﾊﾞﾗ,6380313,29
北角,ｷﾄｽﾞﾐ,6380303,29
五色,ｺﾞｼｷ,6380314,29
籠山,ｺﾓﾘﾔﾏ,6380551,29
沢谷,ｻﾜﾀﾆ,6380305,29
沢原,ｻﾜﾊﾞﾗ,6380315,29
塩谷,ｼｵﾀﾞﾆ,6380564,29
塩野,ｼｵﾉ,6380563,29
滝尾,ﾀｷｵ,6380562,29
九尾,ﾂﾂﾞﾗｵ,6380541,29
坪内,ﾂﾎﾞﾉｳﾁ,6380321,29
栃尾,ﾄﾁｵ,6380542,29
洞川,ﾄﾞﾛｶﾞﾜ,6380431,29
中越,ﾅｶｺﾞｼ,6380302,29
中谷,ﾅｶﾀﾆ,6380312,29
広瀬,ﾋﾛｾ,6380561,29
南日裏,ﾐﾅﾐﾋｳﾗ,6380322,29
南角,ﾐﾉｽﾞﾐ,6380304,29
山西,ﾔﾏﾆｼ,6380553,29
和田,ﾜﾀﾞ,6380543,29
