another_name,another_name_kana,post_id,prefecture_id
,,0000000,40
天生田,ｱﾓｳﾀﾞ,8240044,40
泉中央,ｲｽﾞﾐﾁｭｳｵｳ,8240034,40
稲童,ｲﾅﾄﾞｳ,8240022,40
今井,ｲﾏｲ,8240018,40
大谷,ｵｵﾀﾆ,8240045,40
大野井,ｵｵﾉｲ,8240041,40
大橋,ｵｵﾊｼ,8240003,40
長木,ｵｻｷﾞ,8240058,40
金屋,ｶﾅﾔ,8240004,40
上検地,ｶﾐｹﾝｼﾞ,8240052,40
上津熊,ｶﾐﾂﾞｸﾏ,8240064,40
上稗田,ｶﾐﾋｴﾀﾞ,8240055,40
北泉,ｷﾀｲｽﾞﾐ,8240033,40
行事,ｷﾞｮｳｼﾞ,8240001,40
草野,ｸｻﾉ,8240061,40
沓尾,ｸﾂｵ,8240013,40
下検地,ｼﾓｹﾝｼﾞ,8240051,40
下崎,ｼﾓｻｷ,8240076,40
下津熊,ｼﾓﾂﾞｸﾏ,8240062,40
下稗田,ｼﾓﾋｴﾀﾞ,8240054,40
神田町,ｼﾞﾝﾃﾞﾝﾏﾁ,8240007,40
須磨園,ｽﾏｿﾞﾉ,8240072,40
高来,ﾀｶｸ,8240078,40
高瀬,ﾀｶｾ,8240027,40
宝山,ﾀｶﾗﾔﾏ,8240048,40
中央,ﾁｭｳｵｳ,8240005,40
長音寺,ﾁｮｳｵﾝｼﾞ,8240065,40
辻垣,ﾂｼﾞｶｷ,8240028,40
津積,ﾂﾂﾐ,8240047,40
常松,ﾂﾈﾏﾂ,8240074,40
津留,ﾂﾙ,8240016,40
寺畔,ﾃﾗﾅﾜﾃ,8240042,40
道場寺,ﾄﾞｳｼﾞｮｳｼﾞ,8240026,40
徳永,ﾄｸﾅｶﾞ,8240071,40
中川,ﾅｶｶﾞﾜ,8240053,40
中津熊,ﾅｶﾂﾞｸﾏ,8240063,40
長井,ﾅｶﾞｲ,8240014,40
長尾,ﾅｶﾞｵ,8240075,40
西泉,ﾆｼｲｽﾞﾐ,8240038,40
西谷,ﾆｼﾀﾆ,8240046,40
西宮市,ﾆｼﾐﾔｲﾁ,8240031,40
入覚,ﾆｭｳｶﾞｸ,8240077,40
延永,ﾉﾌﾞﾅｶﾞ,8240068,40
馬場,ﾊﾞﾊﾞ,8240021,40
東泉,ﾋｶﾞｼｲｽﾞﾐ,8240035,40
東大橋,ﾋｶﾞｼｵｵﾊｼ,8240002,40
東徳永,ﾋｶﾞｼﾄｸﾅｶﾞ,8240025,40
福原,ﾌｸﾊﾞﾙ,8240049,40
福丸,ﾌｸﾏﾙ,8240073,40
袋迫,ﾌｸﾛｻｺ,8240024,40
二塚,ﾌﾀﾂﾞｶ,8240067,40
文久,ﾌﾞﾝｷｭｳ,8240012,40
前田,ﾏｴﾀﾞ,8240056,40
真菰,ﾏｺﾓ,8240017,40
松原,ﾏﾂﾊﾞﾗ,8240023,40
南泉,ﾐﾅﾐｲｽﾞﾐ,8240036,40
南大橋,ﾐﾅﾐｵｵﾊｼ,8240032,40
蓑島,ﾐﾉｼﾏ,8240011,40
宮市町,ﾐﾔｲﾁﾏﾁ,8240008,40
宮の杜,ﾐﾔﾉﾓﾘ,8240057,40
元永,ﾓﾄﾅｶﾞ,8240015,40
門樋町,ﾓﾝﾋﾟﾏﾁ,8240006,40
矢留,ﾔﾄﾞﾐ,8240037,40
矢山,ﾔﾔﾏ,8240079,40
吉国,ﾖｼｸﾆ,8240066,40
流末,ﾘｭｳﾏﾂ,8240043,40
