another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
旭町,ｱｻﾋﾏﾁ,0680405,1
楓,ｶｴﾃﾞ,0680754,1
鹿島明石町,ｶｼﾏｱｶｼﾁｮｳ,0680662,1
鹿島栄町,ｶｼﾏｻｶｴﾁｮｳ,0680673,1
鹿島白金,ｶｼﾏｼﾛｶﾞﾈ,0680661,1
鹿島宝町,ｶｼﾏﾀｶﾗﾁｮｳ,0680665,1
鹿島千年町,ｶｼﾏﾁﾄｾﾁｮｳ,0680663,1
鹿島錦町,ｶｼﾏﾆｼｷﾁｮｳ,0680664,1
鹿島富士見町,ｶｼﾏﾌｼﾞﾐﾁｮｳ,0680672,1
鹿島北栄町,ｶｼﾏﾎｸｴｲﾁｮｳ,0680675,1
鹿島緑町,ｶｼﾏﾐﾄﾞﾘﾁｮｳ,0680671,1
鹿島代々木町,ｶｼﾏﾖﾖｷﾞﾁｮｳ,0680674,1
鹿の谷,ｼｶﾉﾀﾆ,0680413,1
鹿の谷東丘町,ｼｶﾉﾀﾆﾋｶﾞｼｵｶﾁｮｳ,0680412,1
鹿の谷山手町,ｼｶﾉﾀﾆﾔﾏﾃﾁｮｳ,0680414,1
清水沢,ｼﾐｽﾞｻﾜ,0680531,1
清水沢清栄町,ｼﾐｽﾞｻﾜｾｲｴｲﾁｮｳ,0680532,1
清水沢清湖町,ｼﾐｽﾞｻﾜｾｲｺﾁｮｳ,0680533,1
清水沢清陵町,ｼﾐｽﾞｻﾜｾｲﾘｮｳﾁｮｳ,0680535,1
清水沢宮前町,ｼﾐｽﾞｻﾜﾐﾔﾏｴﾁｮｳ,0680534,1
社光,ｼｬｺｳ,0680402,1
昭和,ｼｮｳﾜ,0680404,1
末広,ｽｴﾋﾛ,0680411,1
住初,ｽﾐｿﾞﾒ,0680406,1
高松,ﾀｶﾏﾂ,0680401,1
滝ノ上,ﾀｷﾉｳｴ,0680756,1
千代田,ﾁﾖﾀﾞ,0680424,1
丁未,ﾃｲﾐ,0680409,1
常盤,ﾄｷﾜ,0680421,1
富岡,ﾄﾐｵｶ,0680408,1
富野,ﾄﾐﾉ,0680426,1
南部青葉町,ﾅﾝﾌﾞｱｵﾊﾞﾁｮｳ,0680546,1
南部東町,ﾅﾝﾌﾞｱｽﾞﾏﾁｮｳ,0680545,1
南部遠幌町,ﾅﾝﾌﾞｴﾝﾎﾛﾁｮｳ,0680541,1
南部大宮町,ﾅﾝﾌﾞｵｵﾐﾔﾁｮｳ,0680544,1
南部菊水町,ﾅﾝﾌﾞｷｸｽｲﾁｮｳ,0680546,1
南部幌南町,ﾅﾝﾌﾞｺｳﾅﾝﾁｮｳ,0680548,1
南部新光町,ﾅﾝﾌﾞｼﾝｺｳﾁｮｳ,0680547,1
南部住の江町,ﾅﾝﾌﾞｽﾐﾉｴﾁｮｳ,0680540,1
南部岳見町,ﾅﾝﾌﾞﾀｹﾐﾁｮｳ,0680549,1
南部夕南町,ﾅﾝﾌﾞﾕｳﾅﾝﾁｮｳ,0680542,1
南部若美町,ﾅﾝﾌﾞﾜｶﾐﾁｮｳ,0680543,1
沼ノ沢,ﾇﾏﾉｻﾜ,0680751,1
登川,ﾉﾎﾞﾘｶﾜ,0680753,1
日吉,ﾋﾖｼ,0680422,1
福住,ﾌｸｽﾞﾐ,0680407,1
平和,ﾍｲﾜ,0680423,1
本町,ﾎﾝﾁｮｳ,0680403,1
真谷地,ﾏﾔﾁ,0680752,1
南清水沢,ﾐﾅﾐｼﾐｽﾞｻﾜ,0680536,1
紅葉山,ﾓﾐｼﾞﾔﾏ,0680755,1
若菜,ﾜｶﾅ,0680425,1
