another_name,another_name_kana,post_id,prefecture_id
,,0000000,8
芦ケ谷,ｱｼｶﾞﾔ,3003555,8
芦ケ谷新田,ｱｼｶﾞﾔｼﾝﾃﾞﾝ,3003556,8
新井,ｱﾗｲ,3003519,8
粟野,ｱﾜﾉ,3003535,8
磯,ｲｿ,3003562,8
今里,ｲﾏｻﾞﾄ,3003531,8
大里,ｵｵｻﾄ,3003514,8
太田,ｵｵﾀ,3003534,8
大戸新田,ｵｵﾄﾞｼﾝﾃﾞﾝ,3003571,8
大間木,ｵｵﾏｷﾞ,3003552,8
大渡戸,ｵｵﾜﾀﾞﾄﾞ,3003515,8
尾崎,ｵｻｷ,3003554,8
貝谷,ｶｲﾔ,3003526,8
粕礼,ｶｽﾚｲ,3003503,8
片角,ｶﾀｶｸ,3003533,8
苅橋,ｶﾘﾊｼ,3003537,8
川尻,ｶﾜｼﾞﾘ,3003521,8
久下田,ｸｹﾞﾀ,3003513,8
栗山,ｸﾘﾔﾏ,3003551,8
小屋,ｺﾔ,3003512,8
佐野,ｻﾉ,3003505,8
塩本,ｼｵﾓﾄ,3003501,8
下山川,ｼﾓﾔﾏｶﾜ,3003502,8
新地,ｼﾝﾁ,3003541,8
新地新田,ｼﾝﾁｼﾝﾃﾞﾝ,3003543,8
菅谷,ｽｹﾞﾉﾔ,3003572,8
瀬戸井,ｾﾄｲ,3003511,8
高崎,ﾀｶｻｷ,3003516,8
坪井,ﾂﾎﾞｲ,3003517,8
中野,ﾅｶﾉ,3003536,8
成田,ﾅﾘﾀ,3003506,8
仁江戸,ﾆｴﾄﾞ,3003539,8
西大山,ﾆｼｵｵﾔﾏ,3003504,8
沼森,ﾇﾏﾓﾘ,3003525,8
野爪,ﾉﾂﾒ,3003518,8
八町,ﾊｯﾁｮｳ,3003523,8
東大山,ﾋｶﾞｼｵｵﾔﾏ,3003538,8
東原,ﾋｶﾞｼﾊﾗ,3003527,8
東蕗田,ﾋｶﾞｼﾌｷﾀﾞ,3003545,8
兵庫,ﾋｮｳｺﾞ,3003524,8
平塚,ﾋﾗﾂｶ,3003561,8
蕗田,ﾌｷﾀﾞ,3003553,8
福岡,ﾌｸｵｶ,3003542,8
袋,ﾌｸﾛ,3003522,8
本郷,ﾎﾝｺﾞｳ,3003532,8
松本,ﾏﾂﾓﾄ,3003565,8
水口,ﾐﾉｸﾁ,3003564,8
村貫,ﾑﾗﾇｷ,3003563,8
若,ﾜｶ,3003544,8
