another_name,another_name_kana,post_id,prefecture_id
,,0000000,5
相川,ｱｲｶﾜ,0190402,5
赤土,ｱｶﾂﾁ,0120024,5
秋ノ宮,ｱｷﾉﾐﾔ,0190321,5
愛宕町,ｱﾀｺﾞﾁｮｳ,0120855,5
小豆田,ｱﾂﾞｷﾀ,0120042,5
荒町,ｱﾗﾏﾁ,0120852,5
石塚,ｲｼﾂﾞｶ,0120062,5
泉沢,ｲｽﾞﾐｻﾜ,0190201,5
稲庭町,ｲﾅﾆﾜﾁｮｳ,0120107,5
祝田,ｲﾜｲﾀﾞ,0120022,5
岩崎,ｲﾜｻｷ,0120801,5
岩ノ沢山,ｲﾜﾉｻﾜﾔﾏ,0120834,5
院内銀山町,ｲﾝﾅｲｷﾞﾝｻﾞﾝﾏﾁ,0190113,5
内舘町,ｳﾁﾀﾞﾃﾏﾁ,0120842,5
内町,ｳﾁﾏﾁ,0120843,5
裏門,ｳﾗﾓﾝ,0120824,5
宇留院内,ｳﾙｲﾝﾅｲ,0190403,5
大倉谷地,ｵｵｸﾗﾔﾁ,0120014,5
大島,ｵｵｼﾏ,0120026,5
大町,ｵｵﾏﾁ,0120841,5
大森,ｵｵﾓﾘ,0120012,5
岡田町,ｵｶﾀﾞﾏﾁ,0120045,5
雄勝田,ｵｶﾞﾁﾀ,0120057,5
御囲地町,ｵｶﾁﾏﾁ,0120856,5
沖田,ｵｷﾀ,0120023,5
沖鶴,ｵｷﾂﾙ,0120037,5
小野,ｵﾉ,0190205,5
表町,ｵﾓﾃﾏﾁ,0120827,5
角間,ｶｸﾏ,0120001,5
角間沢,ｶｸﾏｻﾞﾜ,0120831,5
カツクイ沢山,ｶｯｸｲｻﾜﾔﾏ,0120833,5
金谷,ｶﾅﾔ,0120005,5
鉦打沢,ｶﾈｳﾁｻﾞﾜ,0120835,5
金堀沢山,ｶﾈﾎﾘｻﾞﾜﾔﾏ,0120836,5
上院内,ｶﾐｲﾝﾅｲ,0190111,5
上関,ｶﾐｾｷ,0120864,5
上二井田,ｶﾐﾆｲﾀﾞ,0120003,5
川連町,ｶﾜﾂﾗﾁｮｳ,0120105,5
北荒町,ｷﾀｱﾗﾏﾁ,0120825,5
倉内,ｸﾗｳﾁ,0120015,5
桑崎,ｸﾜｶﾞｻｷ,0190202,5
黄金原,ｺｶﾞﾈﾊﾗ,0120021,5
駒形町,ｺﾏｶﾞﾀﾁｮｳ,0120104,5
材木町,ｻﾞｲﾓｸﾁｮｳ,0120845,5
幸町,ｻｲﾜｲﾁｮｳ,0120035,5
栄田,ｻｶｴﾀﾞ,0120013,5
酒蒔,ｻｶﾏｷ,0190401,5
桜通り,ｻｸﾗﾄﾞｵﾘ,0120811,5
佐竹町,ｻﾀｹﾁｮｳ,0120824,5
清水町,ｼﾐｽﾞﾁｮｳ,0120033,5
下院内,ｼﾓｲﾝﾅｲ,0190112,5
下関,ｼﾓｾｷ,0120863,5
下中川原,ｼﾓﾅｶｶﾞﾜﾗ,0120052,5
下二井田,ｼﾓﾆｲﾀﾞ,0120002,5
下山谷,ｼﾓﾔﾏﾔ,0120822,5
新町,ｼﾝﾁｮｳ,0120853,5
杉沢,ｽｷﾞｻﾜ,0120804,5
杉沢新所,ｽｷﾞｻﾜｱﾗﾄｺﾛ,0120803,5
関口,ｾｷｸﾞﾁ,0120862,5
千刈,ｾﾝｶﾞﾘ,0120016,5
千石町,ｾﾝｺﾞｸﾁｮｳ,0120857,5
大工町,ﾀﾞｲｸﾏﾁ,0120814,5
高前,ﾀｶﾏｴ,0120008,5
高松,ﾀｶﾏﾂ,0190404,5
田町,ﾀﾏﾁ,0120844,5
鶴館,ﾂﾙﾀﾞﾃ,0120031,5
寺沢,ﾃﾗｻﾜ,0190203,5
鳶ケ沢山,ﾄﾋﾞｶﾞｻﾜﾔﾏ,0120854,5
中川原,ﾅｶｶﾞﾜﾗ,0120053,5
中野,ﾅｶﾉ,0120041,5
中野々目,ﾅｶﾉﾉﾒ,0120044,5
成沢,ﾅﾘｻﾜ,0120802,5
二井田,ﾆｲﾀﾞ,0120004,5
西愛宕町,ﾆｼｱﾀｺﾞﾁｮｳ,0120868,5
西金堀沢山,ﾆｼｶﾈﾎﾘｻﾞﾜﾔﾏ,0120837,5
西新町,ﾆｼｼﾝﾏﾁ,0120034,5
西中川原,ﾆｼﾅｶｶﾞﾜﾗ,0120054,5
西松沢,ﾆｼﾏﾂｻﾞﾜ,0120866,5
沼樋,ﾇﾏﾄﾞｲ,0120865,5
東赤土山,ﾋｶﾞｼｱｶﾂﾁﾔﾏ,0120812,5
東松沢,ﾋｶﾞｼﾏﾂｻﾞﾜ,0120861,5
広沢山,ﾋﾛｻﾜﾔﾏ,0120832,5
深堀,ﾌｶﾎﾞﾘ,0120051,5
藤花,ﾌｼﾞﾊﾅ,0120056,5
富士見,ﾌｼﾞﾐ,0120017,5
吹張,ﾌｯﾊﾟﾘ,0120851,5
古館町,ﾌﾙﾀﾞﾃﾏﾁ,0120815,5
蛇野,ﾍﾋﾞﾉ,0120838,5
前島,ﾏｴｼﾞﾏ,0120025,5
前森,ﾏｴﾓﾘ,0120813,5
松岡,ﾏﾂｵｶ,0120061,5
万石,ﾏﾝｺﾞｸ,0120043,5
三梨町,ﾐﾂﾅｼﾁｮｳ,0120106,5
皆瀬,ﾐﾅｾ,0000000,5
皆瀬水上沢,ﾐﾅｾﾐｽﾞｶﾐｻﾜ,0190481,5
南台,ﾐﾅﾐﾀﾞｲ,0120867,5
元清水,ﾓﾄｼﾐｽﾞ,0120032,5
森,ﾓﾘ,0120011,5
柳田,ﾔﾅｷﾞﾀﾞ,0120006,5
柳町,ﾔﾅｷﾞﾏﾁ,0120826,5
山田,ﾔﾏﾀﾞ,0120055,5
山谷,ﾔﾏﾔ,0120821,5
八幡,ﾔﾜﾀ,0120007,5
湯ノ上山,ﾕﾉｶﾐﾔﾏ,0120823,5
湯ノ原,ﾕﾉﾊﾗ,0120823,5
横堀,ﾖｺﾎﾞﾘ,0190204,5
両神,ﾘｮｳｼﾞﾝ,0120036,5
若葉町,ﾜｶﾊﾞﾏﾁ,0120869,5
