municipalitie_id,municipalitie,municipalitie_kana,prefecture_id
1,北九州市門司区,ｷﾀｷｭｳｼｭｳｼﾓｼﾞｸ,40
2,北九州市若松区,ｷﾀｷｭｳｼｭｳｼﾜｶﾏﾂｸ,40
3,北九州市戸畑区,ｷﾀｷｭｳｼｭｳｼﾄﾊﾞﾀｸ,40
4,北九州市小倉北区,ｷﾀｷｭｳｼｭｳｼｺｸﾗｷﾀｸ,40
5,北九州市小倉南区,ｷﾀｷｭｳｼｭｳｼｺｸﾗﾐﾅﾐｸ,40
6,北九州市八幡東区,ｷﾀｷｭｳｼｭｳｼﾔﾊﾀﾋｶﾞｼｸ,40
7,北九州市八幡西区,ｷﾀｷｭｳｼｭｳｼﾔﾊﾀﾆｼｸ,40
8,福岡市東区,ﾌｸｵｶｼﾋｶﾞｼｸ,40
9,福岡市博多区,ﾌｸｵｶｼﾊｶﾀｸ,40
10,福岡市中央区,ﾌｸｵｶｼﾁｭｳｵｳｸ,40
11,福岡市南区,ﾌｸｵｶｼﾐﾅﾐｸ,40
12,福岡市西区,ﾌｸｵｶｼﾆｼｸ,40
13,福岡市城南区,ﾌｸｵｶｼｼﾞｮｳﾅﾝｸ,40
14,福岡市早良区,ﾌｸｵｶｼｻﾜﾗｸ,40
15,大牟田市,ｵｵﾑﾀｼ,40
16,久留米市,ｸﾙﾒｼ,40
17,直方市,ﾉｵｶﾞﾀｼ,40
18,飯塚市,ｲｲﾂﾞｶｼ,40
19,田川市,ﾀｶﾞﾜｼ,40
20,柳川市,ﾔﾅｶﾞﾜｼ,40
21,八女市,ﾔﾒｼ,40
22,筑後市,ﾁｸｺﾞｼ,40
23,大川市,ｵｵｶﾜｼ,40
24,行橋市,ﾕｸﾊｼｼ,40
25,豊前市,ﾌﾞｾﾞﾝｼ,40
26,中間市,ﾅｶﾏｼ,40
27,小郡市,ｵｺﾞｵﾘｼ,40
28,筑紫野市,ﾁｸｼﾉｼ,40
29,春日市,ｶｽｶﾞｼ,40
30,大野城市,ｵｵﾉｼﾞｮｳｼ,40
31,宗像市,ﾑﾅｶﾀｼ,40
32,太宰府市,ﾀﾞｻﾞｲﾌｼ,40
33,古賀市,ｺｶﾞｼ,40
34,福津市,ﾌｸﾂｼ,40
35,うきは市,ｳｷﾊｼ,40
36,宮若市,ﾐﾔﾜｶｼ,40
37,嘉麻市,ｶﾏｼ,40
38,朝倉市,ｱｻｸﾗｼ,40
39,みやま市,ﾐﾔﾏｼ,40
40,糸島市,ｲﾄｼﾏｼ,40
41,那珂川市,ﾅｶｶﾞﾜｼ,40
42,糟屋郡宇美町,ｶｽﾔｸﾞﾝｳﾐﾏﾁ,40
43,糟屋郡篠栗町,ｶｽﾔｸﾞﾝｻｻｸﾞﾘﾏﾁ,40
44,糟屋郡志免町,ｶｽﾔｸﾞﾝｼﾒﾏﾁ,40
45,糟屋郡須惠町,ｶｽﾔｸﾞﾝｽｴﾏﾁ,40
46,糟屋郡新宮町,ｶｽﾔｸﾞﾝｼﾝｸﾞｳﾏﾁ,40
47,糟屋郡久山町,ｶｽﾔｸﾞﾝﾋｻﾔﾏﾏﾁ,40
48,糟屋郡粕屋町,ｶｽﾔｸﾞﾝｶｽﾔﾏﾁ,40
49,遠賀郡芦屋町,ｵﾝｶﾞｸﾞﾝｱｼﾔﾏﾁ,40
50,遠賀郡水巻町,ｵﾝｶﾞｸﾞﾝﾐｽﾞﾏｷﾏﾁ,40
51,遠賀郡岡垣町,ｵﾝｶﾞｸﾞﾝｵｶｶﾞｷﾏﾁ,40
52,遠賀郡遠賀町,ｵﾝｶﾞｸﾞﾝｵﾝｶﾞﾁｮｳ,40
53,鞍手郡小竹町,ｸﾗﾃｸﾞﾝｺﾀｹﾏﾁ,40
54,鞍手郡鞍手町,ｸﾗﾃｸﾞﾝｸﾗﾃﾏﾁ,40
55,嘉穂郡桂川町,ｶﾎｸﾞﾝｹｲｾﾝﾏﾁ,40
56,朝倉郡筑前町,ｱｻｸﾗｸﾞﾝﾁｸｾﾞﾝﾏﾁ,40
57,朝倉郡東峰村,ｱｻｸﾗｸﾞﾝﾄｳﾎｳﾑﾗ,40
58,三井郡大刀洗町,ﾐｲｸﾞﾝﾀﾁｱﾗｲﾏﾁ,40
59,三潴郡大木町,ﾐｽﾞﾏｸﾞﾝｵｵｷﾏﾁ,40
60,八女郡広川町,ﾔﾒｸﾞﾝﾋﾛｶﾜﾏﾁ,40
61,田川郡香春町,ﾀｶﾞﾜｸﾞﾝｶﾜﾗﾏﾁ,40
62,田川郡添田町,ﾀｶﾞﾜｸﾞﾝｿｴﾀﾞﾏﾁ,40
63,田川郡糸田町,ﾀｶﾞﾜｸﾞﾝｲﾄﾀﾞﾏﾁ,40
64,田川郡川崎町,ﾀｶﾞﾜｸﾞﾝｶﾜｻｷﾏﾁ,40
65,田川郡大任町,ﾀｶﾞﾜｸﾞﾝｵｵﾄｳﾏﾁ,40
66,田川郡赤村,ﾀｶﾞﾜｸﾞﾝｱｶﾑﾗ,40
67,田川郡福智町,ﾀｶﾞﾜｸﾞﾝﾌｸﾁﾏﾁ,40
68,京都郡苅田町,ﾐﾔｺｸﾞﾝｶﾝﾀﾞﾏﾁ,40
69,京都郡みやこ町,ﾐﾔｺｸﾞﾝﾐﾔｺﾏﾁ,40
70,築上郡吉富町,ﾁｸｼﾞｮｳｸﾞﾝﾖｼﾄﾐﾏﾁ,40
71,築上郡上毛町,ﾁｸｼﾞｮｳｸﾞﾝｺｳｹﾞﾏﾁ,40
72,築上郡築上町,ﾁｸｼﾞｮｳｸﾞﾝﾁｸｼﾞｮｳﾏﾁ,40
