municipalitie_id,municipalitie,municipalitie_kana,prefecture_id
1,高知市,ｺｳﾁｼ,39
2,室戸市,ﾑﾛﾄｼ,39
3,安芸市,ｱｷｼ,39
4,南国市,ﾅﾝｺｸｼ,39
5,土佐市,ﾄｻｼ,39
6,須崎市,ｽｻｷｼ,39
7,宿毛市,ｽｸﾓｼ,39
8,土佐清水市,ﾄｻｼﾐｽﾞｼ,39
9,四万十市,ｼﾏﾝﾄｼ,39
10,香南市,ｺｳﾅﾝｼ,39
11,香美市,ｶﾐｼ,39
12,安芸郡東洋町,ｱｷｸﾞﾝﾄｳﾖｳﾁｮｳ,39
13,安芸郡奈半利町,ｱｷｸﾞﾝﾅﾊﾘﾁｮｳ,39
14,安芸郡田野町,ｱｷｸﾞﾝﾀﾉﾁｮｳ,39
15,安芸郡安田町,ｱｷｸﾞﾝﾔｽﾀﾞﾁｮｳ,39
16,安芸郡北川村,ｱｷｸﾞﾝｷﾀｶﾞﾜﾑﾗ,39
17,安芸郡馬路村,ｱｷｸﾞﾝｳﾏｼﾞﾑﾗ,39
18,安芸郡芸西村,ｱｷｸﾞﾝｹﾞｲｾｲﾑﾗ,39
19,長岡郡本山町,ﾅｶﾞｵｶｸﾞﾝﾓﾄﾔﾏﾁｮｳ,39
20,長岡郡大豊町,ﾅｶﾞｵｶｸﾞﾝｵｵﾄﾖﾁｮｳ,39
21,土佐郡土佐町,ﾄｻｸﾞﾝﾄｻﾁｮｳ,39
22,土佐郡大川村,ﾄｻｸﾞﾝｵｵｶﾜﾑﾗ,39
23,吾川郡いの町,ｱｶﾞﾜｸﾞﾝｲﾉﾁｮｳ,39
24,吾川郡仁淀川町,ｱｶﾞﾜｸﾞﾝﾆﾖﾄﾞｶﾞﾜﾁｮｳ,39
25,高岡郡中土佐町,ﾀｶｵｶｸﾞﾝﾅｶﾄｻﾁｮｳ,39
26,高岡郡佐川町,ﾀｶｵｶｸﾞﾝｻｶﾜﾁｮｳ,39
27,高岡郡越知町,ﾀｶｵｶｸﾞﾝｵﾁﾁｮｳ,39
28,高岡郡檮原町,ﾀｶｵｶｸﾞﾝﾕｽﾊﾗﾁｮｳ,39
29,高岡郡日高村,ﾀｶｵｶｸﾞﾝﾋﾀﾞｶﾑﾗ,39
30,高岡郡津野町,ﾀｶｵｶｸﾞﾝﾂﾉﾁｮｳ,39
31,高岡郡四万十町,ﾀｶｵｶｸﾞﾝｼﾏﾝﾄﾁｮｳ,39
32,幡多郡大月町,ﾊﾀｸﾞﾝｵｵﾂｷﾁｮｳ,39
33,幡多郡三原村,ﾊﾀｸﾞﾝﾐﾊﾗﾑﾗ,39
34,幡多郡黒潮町,ﾊﾀｸﾞﾝｸﾛｼｵﾁｮｳ,39
