municipalitie_id,municipalitie,municipalitie_kana,prefecture_id
1,京都市北区,ｷｮｳﾄｼｷﾀｸ,26
2,京都市上京区,ｷｮｳﾄｼｶﾐｷﾞｮｳｸ,26
3,京都市左京区,ｷｮｳﾄｼｻｷｮｳｸ,26
4,京都市中京区,ｷｮｳﾄｼﾅｶｷﾞｮｳｸ,26
5,京都市東山区,ｷｮｳﾄｼﾋｶﾞｼﾔﾏｸ,26
6,京都市下京区,ｷｮｳﾄｼｼﾓｷﾞｮｳｸ,26
7,京都市南区,ｷｮｳﾄｼﾐﾅﾐｸ,26
8,京都市右京区,ｷｮｳﾄｼｳｷｮｳｸ,26
9,京都市伏見区,ｷｮｳﾄｼﾌｼﾐｸ,26
10,京都市山科区,ｷｮｳﾄｼﾔﾏｼﾅｸ,26
11,京都市西京区,ｷｮｳﾄｼﾆｼｷｮｳｸ,26
12,福知山市,ﾌｸﾁﾔﾏｼ,26
13,舞鶴市,ﾏｲﾂﾞﾙｼ,26
14,綾部市,ｱﾔﾍﾞｼ,26
15,宇治市,ｳｼﾞｼ,26
16,宮津市,ﾐﾔﾂﾞｼ,26
17,亀岡市,ｶﾒｵｶｼ,26
18,城陽市,ｼﾞｮｳﾖｳｼ,26
19,向日市,ﾑｺｳｼ,26
20,長岡京市,ﾅｶﾞｵｶｷｮｳｼ,26
21,八幡市,ﾔﾜﾀｼ,26
22,京田辺市,ｷｮｳﾀﾅﾍﾞｼ,26
23,京丹後市,ｷｮｳﾀﾝｺﾞｼ,26
24,南丹市,ﾅﾝﾀﾝｼ,26
25,木津川市,ｷﾂﾞｶﾞﾜｼ,26
26,乙訓郡大山崎町,ｵﾄｸﾆｸﾞﾝｵｵﾔﾏｻﾞｷﾁｮｳ,26
27,久世郡久御山町,ｸｾｸﾞﾝｸﾐﾔﾏﾁｮｳ,26
28,綴喜郡井手町,ﾂﾂﾞｷｸﾞﾝｲﾃﾞﾁｮｳ,26
29,綴喜郡宇治田原町,ﾂﾂﾞｷｸﾞﾝｳｼﾞﾀﾜﾗﾁｮｳ,26
30,相楽郡笠置町,ｿｳﾗｸｸﾞﾝｶｻｷﾞﾁｮｳ,26
31,相楽郡和束町,ｿｳﾗｸｸﾞﾝﾜﾂﾞｶﾁｮｳ,26
32,相楽郡精華町,ｿｳﾗｸｸﾞﾝｾｲｶﾁｮｳ,26
33,相楽郡南山城村,ｿｳﾗｸｸﾞﾝﾐﾅﾐﾔﾏｼﾛﾑﾗ,26
34,船井郡京丹波町,ﾌﾅｲｸﾞﾝｷｮｳﾀﾝﾊﾞﾁｮｳ,26
35,与謝郡伊根町,ﾖｻｸﾞﾝｲﾈﾁｮｳ,26
36,与謝郡与謝野町,ﾖｻｸﾞﾝﾖｻﾉﾁｮｳ,26
