municipalitie_id,municipalitie,municipalitie_kana,prefecture_id
1,鹿児島市,ｶｺﾞｼﾏｼ,46
2,鹿屋市,ｶﾉﾔｼ,46
3,枕崎市,ﾏｸﾗｻﾞｷｼ,46
4,阿久根市,ｱｸﾈｼ,46
5,出水市,ｲｽﾞﾐｼ,46
6,指宿市,ｲﾌﾞｽｷｼ,46
7,西之表市,ﾆｼﾉｵﾓﾃｼ,46
8,垂水市,ﾀﾙﾐｽﾞｼ,46
9,薩摩川内市,ｻﾂﾏｾﾝﾀﾞｲｼ,46
10,日置市,ﾋｵｷｼ,46
11,曽於市,ｿｵｼ,46
12,霧島市,ｷﾘｼﾏｼ,46
13,いちき串木野市,ｲﾁｷｸｼｷﾉｼ,46
14,南さつま市,ﾐﾅﾐｻﾂﾏｼ,46
15,志布志市,ｼﾌﾞｼｼ,46
16,奄美市,ｱﾏﾐｼ,46
17,南九州市,ﾐﾅﾐｷｭｳｼｭｳｼ,46
18,伊佐市,ｲｻｼ,46
19,姶良市,ｱｲﾗｼ,46
20,鹿児島郡三島村,ｶｺﾞｼﾏｸﾞﾝﾐｼﾏﾑﾗ,46
21,鹿児島郡十島村,ｶｺﾞｼﾏｸﾞﾝﾄｼﾏﾑﾗ,46
22,薩摩郡さつま町,ｻﾂﾏｸﾞﾝｻﾂﾏﾁｮｳ,46
23,出水郡長島町,ｲｽﾞﾐｸﾞﾝﾅｶﾞｼﾏﾁｮｳ,46
24,姶良郡湧水町,ｱｲﾗｸﾞﾝﾕｳｽｲﾁｮｳ,46
25,曽於郡大崎町,ｿｵｸﾞﾝｵｵｻｷﾁｮｳ,46
26,肝属郡東串良町,ｷﾓﾂｷｸﾞﾝﾋｶﾞｼｸｼﾗﾁｮｳ,46
27,肝属郡錦江町,ｷﾓﾂｷｸﾞﾝｷﾝｺｳﾁｮｳ,46
28,肝属郡南大隅町,ｷﾓﾂｷｸﾞﾝﾐﾅﾐｵｵｽﾐﾁｮｳ,46
29,肝属郡肝付町,ｷﾓﾂｷｸﾞﾝｷﾓﾂｷﾁｮｳ,46
30,熊毛郡中種子町,ｸﾏｹﾞｸﾞﾝﾅｶﾀﾈﾁｮｳ,46
31,熊毛郡南種子町,ｸﾏｹﾞｸﾞﾝﾐﾅﾐﾀﾈﾁｮｳ,46
32,熊毛郡屋久島町,ｸﾏｹﾞｸﾞﾝﾔｸｼﾏﾁｮｳ,46
33,大島郡大和村,ｵｵｼﾏｸﾞﾝﾔﾏﾄｿﾝ,46
34,大島郡宇検村,ｵｵｼﾏｸﾞﾝｳｹﾝｿﾝ,46
35,大島郡瀬戸内町,ｵｵｼﾏｸﾞﾝｾﾄｳﾁﾁｮｳ,46
36,大島郡龍郷町,ｵｵｼﾏｸﾞﾝﾀﾂｺﾞｳﾁｮｳ,46
37,大島郡喜界町,ｵｵｼﾏｸﾞﾝｷｶｲﾁｮｳ,46
38,大島郡徳之島町,ｵｵｼﾏｸﾞﾝﾄｸﾉｼﾏﾁｮｳ,46
39,大島郡天城町,ｵｵｼﾏｸﾞﾝｱﾏｷﾞﾁｮｳ,46
40,大島郡伊仙町,ｵｵｼﾏｸﾞﾝｲｾﾝﾁｮｳ,46
41,大島郡和泊町,ｵｵｼﾏｸﾞﾝﾜﾄﾞﾏﾘﾁｮｳ,46
42,大島郡知名町,ｵｵｼﾏｸﾞﾝﾁﾅﾁｮｳ,46
43,大島郡与論町,ｵｵｼﾏｸﾞﾝﾖﾛﾝﾁｮｳ,46
