municipalitie_id,municipalitie,municipalitie_kana,prefecture_id
1,徳島市,ﾄｸｼﾏｼ,36
2,鳴門市,ﾅﾙﾄｼ,36
3,小松島市,ｺﾏﾂｼﾏｼ,36
4,阿南市,ｱﾅﾝｼ,36
5,吉野川市,ﾖｼﾉｶﾞﾜｼ,36
6,阿波市,ｱﾜｼ,36
7,美馬市,ﾐﾏｼ,36
8,三好市,ﾐﾖｼｼ,36
9,勝浦郡勝浦町,ｶﾂｳﾗｸﾞﾝｶﾂｳﾗﾁｮｳ,36
10,勝浦郡上勝町,ｶﾂｳﾗｸﾞﾝｶﾐｶﾂﾁｮｳ,36
11,名東郡佐那河内村,ﾐｮｳﾄﾞｳｸﾞﾝｻﾅｺﾞｳﾁｿﾝ,36
12,名西郡石井町,ﾐｮｳｻﾞｲｸﾞﾝｲｼｲﾁｮｳ,36
13,名西郡神山町,ﾐｮｳｻﾞｲｸﾞﾝｶﾐﾔﾏﾁｮｳ,36
14,那賀郡那賀町,ﾅｶｸﾞﾝﾅｶﾁｮｳ,36
15,海部郡牟岐町,ｶｲﾌｸﾞﾝﾑｷﾞﾁｮｳ,36
16,海部郡美波町,ｶｲﾌｸﾞﾝﾐﾅﾐﾁｮｳ,36
17,海部郡海陽町,ｶｲﾌｸﾞﾝｶｲﾖｳﾁｮｳ,36
18,板野郡松茂町,ｲﾀﾉｸﾞﾝﾏﾂｼｹﾞﾁｮｳ,36
19,板野郡北島町,ｲﾀﾉｸﾞﾝｷﾀｼﾞﾏﾁｮｳ,36
20,板野郡藍住町,ｲﾀﾉｸﾞﾝｱｲｽﾞﾐﾁｮｳ,36
21,板野郡板野町,ｲﾀﾉｸﾞﾝｲﾀﾉﾁｮｳ,36
22,板野郡上板町,ｲﾀﾉｸﾞﾝｶﾐｲﾀﾁｮｳ,36
23,美馬郡つるぎ町,ﾐﾏｸﾞﾝﾂﾙｷﾞﾁｮｳ,36
24,三好郡東みよし町,ﾐﾖｼｸﾞﾝﾋｶﾞｼﾐﾖｼﾁｮｳ,36
