municipalitie_id,municipalitie,municipalitie_kana,prefecture_id
1,山形市,ﾔﾏｶﾞﾀｼ,6
2,米沢市,ﾖﾈｻﾞﾜｼ,6
3,鶴岡市,ﾂﾙｵｶｼ,6
4,酒田市,ｻｶﾀｼ,6
5,新庄市,ｼﾝｼﾞｮｳｼ,6
6,寒河江市,ｻｶﾞｴｼ,6
7,上山市,ｶﾐﾉﾔﾏｼ,6
8,村山市,ﾑﾗﾔﾏｼ,6
9,長井市,ﾅｶﾞｲｼ,6
10,天童市,ﾃﾝﾄﾞｳｼ,6
11,東根市,ﾋｶﾞｼﾈｼ,6
12,尾花沢市,ｵﾊﾞﾅｻﾞﾜｼ,6
13,南陽市,ﾅﾝﾖｳｼ,6
14,東村山郡山辺町,ﾋｶﾞｼﾑﾗﾔﾏｸﾞﾝﾔﾏﾉﾍﾞﾏﾁ,6
15,東村山郡中山町,ﾋｶﾞｼﾑﾗﾔﾏｸﾞﾝﾅｶﾔﾏﾏﾁ,6
16,西村山郡河北町,ﾆｼﾑﾗﾔﾏｸﾞﾝｶﾎｸﾁｮｳ,6
17,西村山郡西川町,ﾆｼﾑﾗﾔﾏｸﾞﾝﾆｼｶﾜﾏﾁ,6
18,西村山郡朝日町,ﾆｼﾑﾗﾔﾏｸﾞﾝｱｻﾋﾏﾁ,6
19,西村山郡大江町,ﾆｼﾑﾗﾔﾏｸﾞﾝｵｵｴﾏﾁ,6
20,北村山郡大石田町,ｷﾀﾑﾗﾔﾏｸﾞﾝｵｵｲｼﾀﾞﾏﾁ,6
21,最上郡金山町,ﾓｶﾞﾐｸﾞﾝｶﾈﾔﾏﾏﾁ,6
22,最上郡最上町,ﾓｶﾞﾐｸﾞﾝﾓｶﾞﾐﾏﾁ,6
23,最上郡舟形町,ﾓｶﾞﾐｸﾞﾝﾌﾅｶﾞﾀﾏﾁ,6
24,最上郡真室川町,ﾓｶﾞﾐｸﾞﾝﾏﾑﾛｶﾞﾜﾏﾁ,6
25,最上郡大蔵村,ﾓｶﾞﾐｸﾞﾝｵｵｸﾗﾑﾗ,6
26,最上郡鮭川村,ﾓｶﾞﾐｸﾞﾝｻｹｶﾞﾜﾑﾗ,6
27,最上郡戸沢村,ﾓｶﾞﾐｸﾞﾝﾄｻﾞﾜﾑﾗ,6
28,東置賜郡高畠町,ﾋｶﾞｼｵｷﾀﾏｸﾞﾝﾀｶﾊﾀﾏﾁ,6
29,東置賜郡川西町,ﾋｶﾞｼｵｷﾀﾏｸﾞﾝｶﾜﾆｼﾏﾁ,6
30,西置賜郡小国町,ﾆｼｵｷﾀﾏｸﾞﾝｵｸﾞﾆﾏﾁ,6
31,西置賜郡白鷹町,ﾆｼｵｷﾀﾏｸﾞﾝｼﾗﾀｶﾏﾁ,6
32,西置賜郡飯豊町,ﾆｼｵｷﾀﾏｸﾞﾝｲｲﾃﾞﾏﾁ,6
33,東田川郡三川町,ﾋｶﾞｼﾀｶﾞﾜｸﾞﾝﾐｶﾜﾏﾁ,6
34,東田川郡庄内町,ﾋｶﾞｼﾀｶﾞﾜｸﾞﾝｼｮｳﾅｲﾏﾁ,6
35,飽海郡遊佐町,ｱｸﾐｸﾞﾝﾕｻﾞﾏﾁ,6
